TABLE->,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.193081,0.273579,0,0.019309,0.193081,0.500000,0.000274,0.040223
A10003,1,0,0,1,0,1,0,1,0,0.114242,0.161871,0,0.011425,0.114242,0.500000,0.000162,0.030429
A10005,1,0,0,1,0,1,0,1,0,0.297538,0.421586,0,0.029756,0.297538,0.500000,0.000422,0.026357
A11001,1,0,0,1,0,1,0,1,0,0.211017,0.298992,0,0.021103,0.211017,0.500000,0.000299,0.062316
A24001,1,0,0,1,0,1,0,1,0,0.095642,0.135517,0,0.009565,0.095642,0.500000,0.000136,0.075504
A24003,1,0,0,1,0,1,0,1,0,0.061634,0.087331,0,0.006164,0.061634,0.500000,0.000087,0.035131
A24005,1,0,0,1,0,1,0,1,0,0.062262,0.088221,0,0.006227,0.062262,0.500000,0.000088,0.033565
A24009,1,0,0,1,0,1,0,1,0,0.036853,0.052217,0,0.003686,0.036853,0.500000,0.000052,0.040083
A24011,1,0,0,1,0,1,0,1,0,0.150313,0.212980,0,0.015032,0.150313,0.500000,0.000213,0.032792
A24013,1,0,0,1,0,1,0,1,0,0.121875,0.172685,0,0.012188,0.121875,0.500000,0.000172,0.044727
A24015,1,0,0,1,0,1,0,1,0,0.095840,0.135797,0,0.009585,0.095840,0.500000,0.000136,0.042750
A24017,1,0,0,1,0,1,0,1,0,0.051486,0.072951,0,0.005149,0.051486,0.500000,0.000073,0.056161
A24019,1,0,0,1,0,1,0,1,0,0.135226,0.191603,0,0.013523,0.135226,0.500000,0.000192,0.039921
A24021,1,0,0,1,0,1,0,1,0,0.070310,0.099622,0,0.007032,0.070310,0.500000,0.000099,0.046253
A24023,1,0,0,1,0,1,0,1,0,0.092134,0.130546,0,0.009214,0.092134,0.500000,0.000131,0.031017
A24025,1,0,0,1,0,1,0,1,0,0.096444,0.136654,0,0.009645,0.096444,0.500000,0.000137,0.029611
A24027,1,0,0,1,0,1,0,1,0,0.085611,0.121304,0,0.008562,0.085611,0.500000,0.000122,0.039913
A24029,1,0,0,1,0,1,0,1,0,0.109143,0.154646,0,0.010915,0.109143,0.500000,0.000155,0.029920
A24031,1,0,0,1,0,1,0,1,0,0.068116,0.096514,0,0.006811,0.068116,0.500000,0.000096,0.043960
A24033,1,0,0,1,0,1,0,1,0,0.034390,0.048728,0,0.003439,0.034390,0.500000,0.000049,0.053314
A24035,1,0,0,1,0,1,0,1,0,0.150370,0.213062,0,0.015038,0.150370,0.500000,0.000213,0.031297
A24037,1,0,0,1,0,1,0,1,0,0.076842,0.108879,0,0.007685,0.076842,0.500000,0.000109,0.055867
A24039,1,0,0,1,0,1,0,1,0,0.139119,0.197120,0,0.013913,0.139119,0.500000,0.000197,0.040827
A24041,1,0,0,1,0,1,0,1,0,0.166983,0.236600,0,0.016699,0.166983,0.500000,0.000237,0.032101
A24043,1,0,0,1,0,1,0,1,0,0.121967,0.172816,0,0.012197,0.121967,0.500000,0.000173,0.030128
A24045,1,0,0,1,0,1,0,1,0,0.145371,0.205978,0,0.014538,0.145371,0.500000,0.000206,0.048457
A24047,1,0,0,1,0,1,0,1,0,0.137224,0.194435,0,0.013723,0.137224,0.500000,0.000194,0.047302
A24510,1,0,0,1,0,1,0,1,0,0.142133,0.201390,0,0.014214,0.142133,0.500000,0.000201,0.029730
A36003,1,0,0,1,0,1,0,1,0,0.103111,0.146100,0,0.010312,0.103111,0.500000,0.000146,0.064134
A36007,1,0,0,1,0,1,0,1,0,0.133234,0.188780,0,0.013324,0.133234,0.500000,0.000189,0.036458
A36011,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A36015,1,0,0,1,0,1,0,1,0,0.097088,0.137565,0,0.009709,0.097088,0.500000,0.000138,0.068185
A36017,1,0,0,1,0,1,0,1,0,0.101160,0.143335,0,0.010116,0.101160,0.500000,0.000143,0.029757
A36023,1,0,0,1,0,1,0,1,0,0.130623,0.185081,0,0.013063,0.130623,0.500000,0.000185,0.026106
A36025,1,0,0,1,0,1,0,1,0,0.134477,0.190543,0,0.013448,0.134477,0.500000,0.000191,0.033600
A36043,1,0,0,1,0,1,0,1,0,0.097181,0.137697,0,0.009719,0.097181,0.500000,0.000138,0.029901
A36051,1,0,0,1,0,1,0,1,0,0.120224,0.170348,0,0.012023,0.120224,0.500000,0.000170,0.042391
A36053,1,0,0,1,0,1,0,1,0,0.135941,0.192617,0,0.013595,0.135941,0.500000,0.000192,0.027523
A36065,1,0,0,1,0,1,0,1,0,0.135889,0.192542,0,0.013590,0.135889,0.500000,0.000192,0.027691
A36067,1,0,0,1,0,1,0,1,0,0.142550,0.201981,0,0.014256,0.142550,0.500000,0.000202,0.025833
A36069,1,0,0,1,0,1,0,1,0,0.162219,0.229851,0,0.016223,0.162219,0.500000,0.000230,0.044249
A36077,1,0,0,1,0,1,0,1,0,0.123736,0.175323,0,0.012374,0.123736,0.500000,0.000175,0.030573
A36095,1,0,0,1,0,1,0,1,0,0.137617,0.194990,0,0.013762,0.137617,0.500000,0.000195,0.030684
A36097,1,0,0,1,0,1,0,1,0,0.174622,0.247424,0,0.017463,0.174622,0.500000,0.000247,0.047570
A36101,1,0,0,1,0,1,0,1,0,0.131964,0.186982,0,0.013197,0.131964,0.500000,0.000187,0.056468
A36107,1,0,0,1,0,1,0,1,0,0.126698,0.179520,0,0.012671,0.126698,0.500000,0.000180,0.044062
A36109,1,0,0,1,0,1,0,1,0,0.111463,0.157933,0,0.011147,0.111463,0.500000,0.000158,0.042033
A36123,1,0,0,1,0,1,0,1,0,0.137304,0.194547,0,0.013731,0.137304,0.500000,0.000194,0.044856
A37001,1,0,0,1,0,1,0,1,0,0.039582,0.038101,0,0.003958,0.039582,0.500000,0.000038,0.000024
A37005,1,0,0,1,0,1,0,1,0,0.051856,0.046527,0,0.005186,0.051856,0.500000,0.000046,0.000012
A37009,1,0,0,1,0,1,0,1,0,0.053818,0.050497,0,0.005382,0.053818,0.500000,0.000050,0.970E-05
A37033,1,0,0,1,0,1,0,1,0,0.049606,0.056235,0,0.004961,0.049606,0.500000,0.000056,0.000027
A37067,1,0,0,1,0,1,0,1,0,0.054769,0.053959,0,0.005477,0.054769,0.500000,0.000054,0.000023
A37077,1,0,0,1,0,1,0,1,0,0.038993,0.039252,0,0.003899,0.038993,0.500000,0.000040,0.000022
A37081,1,0,0,1,0,1,0,1,0,0.075052,0.075523,0,0.007506,0.075052,0.500000,0.000075,0.000022
A37131,1,0,0,1,0,1,0,1,0,0.041175,0.052377,0,0.004118,0.041175,0.500000,0.000052,0.000028
A37135,1,0,0,1,0,1,0,1,0,0.048024,0.047293,0,0.004802,0.048024,0.500000,0.000048,0.000024
A37145,1,0,0,1,0,1,0,1,0,0.047197,0.050463,0,0.004719,0.047197,0.500000,0.000050,0.000027
A37157,1,0,0,1,0,1,0,1,0,0.055173,0.059511,0,0.005518,0.055173,0.500000,0.000059,0.000023
A37169,1,0,0,1,0,1,0,1,0,0.035084,0.037905,0,0.003508,0.035084,0.500000,0.000038,0.000017
A37171,1,0,0,1,0,1,0,1,0,0.041611,0.040649,0,0.004161,0.041611,0.500000,0.000041,0.000013
A37181,1,0,0,1,0,1,0,1,0,0.042935,0.043272,0,0.004293,0.042935,0.500000,0.000044,0.000024
A37185,1,0,0,1,0,1,0,1,0,0.038737,0.039986,0,0.003874,0.038737,0.500000,0.000040,0.000023
A37189,1,0,0,1,0,1,0,1,0,0.031729,0.030091,0,0.003173,0.031729,0.500000,0.000030,0.934E-05
A42001,1,0,0,1,0,1,0,1,0,0.078175,0.110768,0,0.007818,0.078175,0.500000,0.000111,0.072105
A42009,1,0,0,1,0,1,0,1,0,0.101914,0.144404,0,0.010192,0.101914,0.500000,0.000144,0.039832
A42011,1,0,0,1,0,1,0,1,0,0.056943,0.080684,0,0.005695,0.056943,0.500000,0.000080,0.037706
A42013,1,0,0,1,0,1,0,1,0,0.111331,0.157747,0,0.011133,0.111331,0.500000,0.000158,0.034054
A42015,1,0,0,1,0,1,0,1,0,0.082370,0.116712,0,0.008238,0.082370,0.500000,0.000117,0.050519
A42021,1,0,0,1,0,1,0,1,0,0.105914,0.150071,0,0.010592,0.105914,0.500000,0.000150,0.032035
A42023,1,0,0,1,0,1,0,1,0,0.102124,0.144701,0,0.010213,0.102124,0.500000,0.000145,0.036153
A42025,1,0,0,1,0,1,0,1,0,0.064530,0.091433,0,0.006454,0.064530,0.500000,0.000091,0.041192
A42027,1,0,0,1,0,1,0,1,0,0.102822,0.145690,0,0.010283,0.102822,0.500000,0.000146,0.027875
