TABLE->,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.000354,0.055731,0,0.000035,0.000354,0.500000,0.000056,0.004170
A10003,1,0,0,1,0,1,0,1,0,0.000257,0.040437,0,0.000026,0.000257,0.500000,0.000040,0.003097
A10005,1,0,0,1,0,1,0,1,0,0.000964,0.151872,0,0.000096,0.000964,0.500000,0.000152,0.002733
A11001,1,0,0,1,0,1,0,1,0,0.000859,0.135231,0,0.000086,0.000859,0.500000,0.000135,0.006204
A24001,1,0,0,1,0,1,0,1,0,0.000264,0.041631,0,0.000026,0.000264,0.500000,0.000042,0.007377
A24003,1,0,0,1,0,1,0,1,0,0.000113,0.017673,0,0.000011,0.000113,0.500000,0.000017,0.003603
A24005,1,0,0,1,0,1,0,1,0,0.000095,0.015034,0,0.981E-05,0.000095,0.500000,0.000015,0.003547
A24009,1,0,0,1,0,1,0,1,0,0.000052,0.008193,0,0.520E-05,0.000052,0.500000,0.812E-05,0.004132
A24011,1,0,0,1,0,1,0,1,0,0.000435,0.068547,0,0.000044,0.000435,0.500000,0.000069,0.003372
A24013,1,0,0,1,0,1,0,1,0,0.000292,0.046004,0,0.000029,0.000292,0.500000,0.000046,0.004529
A24015,1,0,0,1,0,1,0,1,0,0.000171,0.026920,0,0.000017,0.000171,0.500000,0.000027,0.004404
A24017,1,0,0,1,0,1,0,1,0,0.000080,0.012558,0,0.797E-05,0.000080,0.500000,0.000012,0.005637
A24019,1,0,0,1,0,1,0,1,0,0.000446,0.070211,0,0.000045,0.000446,0.500000,0.000070,0.004105
