TABLE->,PHOS-FLAGS,PHOS-FLAGS,PHOS-FLAGS,PHOS-FLAGS,PHOS-FLAGS,PHOS-FLAGS,PHOS-AD-FLAGS,PHOS-AD-FLAGS,PHOS-AD-FLAGS,PHOS-AD-FLAGS,PHOS-AD-FLAGS,PHOS-AD-FLAGS,PHOS-AD-FLAGS,PHOS-AD-FLAGS,PHOS-FSTGEN,PHOS-FSTGEN,PHOS-FSTGEN,PHOS-FSTGEN,PHOS-FSTGEN,PHOS-FSTPM#1,PHOS-FSTPM#1,PHOS-FSTPM#1,PHOS-FSTPM#1,PHOS-FSTPM#2,PHOS-FSTPM#2,PHOS-FSTPM#2,PHOS-FSTPM#2,PHOS-FSTPM#3,PHOS-FSTPM#3,PHOS-FSTPM#3,PHOS-FSTPM#3,PHOS-FSTPM#4,PHOS-FSTPM#4,PHOS-FSTPM#4,PHOS-FSTPM#4
VARS->,VPUT,FORP,ITMX,BMUM,CNUM,PUPT,PSF,PSC,PUF,PUC,OSF,OSC,OUF,OUC,THPLP,THKDSP,THKADP,THKIMP,THKMP,KDSP,KADP,KIMP,KMP,KDSP,KADP,KIMP,KMP,KDSP,KADP,KIMP,KMP,KDSP,KADP,KIMP,KMP
A10001,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.001674,0.024005,0,0,0.001674,0.024005,0,0,0.050000,0.024005,0,0,0.050000,0.005000
A10003,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.187343,0.015223,0,0,0.187343,0.015223,0,0,0.050000,0.015223,0,0,0.050000,0.005000
A10005,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.001970,0.214165,0,0,0.001970,0.214165,0,0,0.050000,0.214165,0,0,0.050000,0.005000
A11001,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.257976,0.010000,0,0,0.257976,0.010000,0,0,0.050000,0.010000,0,0,0.050000,0.005000
A24001,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.045894,0.002490,0,0,0.045894,0.002490,0,0,0.050000,0.002490,0,0,0.050000,0.005000
A24003,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.152435,0.013282,0,0,0.152435,0.013282,0,0,0.050000,0.013282,0,0,0.050000,0.005000
A24009,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.008937,0.003060,0,0,0.008937,0.003060,0,0,0.050000,0.003060,0,0,0.050000,0.005000
A24005,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.011936,0.057656,0,0,0.011936,0.057656,0,0,0.050000,0.057656,0,0,0.050000,0.005000
A24011,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.091181,0.003750,0,0,0.091181,0.003750,0,0,0.050000,0.003750,0,0,0.050000,0.005000
A24013,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.052917,0.011448,0,0,0.052917,0.011448,0,0,0.050000,0.011448,0,0,0.050000,0.005000
A24015,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.088921,0.050328,0,0,0.088921,0.050328,0,0,0.050000,0.050328,0,0,0.050000,0.005000
A24017,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.058226,0.002727,0,0,0.058226,0.002727,0,0,0.050000,0.002727,0,0,0.050000,0.005000
A24019,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.413415,0.024299,0,0,0.413415,0.024299,0,0,0.050000,0.024299,0,0,0.050000,0.005000
A24021,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.048450,0.005391,0,0,0.048450,0.005391,0,0,0.050000,0.005391,0,0,0.050000,0.005000
A24023,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.304733,0.011635,0,0,0.304733,0.011635,0,0,0.050000,0.011635,0,0,0.050000,0.005000
A24025,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.191035,0.072051,0,0,0.191035,0.072051,0,0,0.050000,0.072051,0,0,0.050000,0.005000
A24027,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.114404,0.035103,0,0,0.114404,0.035103,0,0,0.050000,0.035103,0,0,0.050000,0.005000
A24029,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.032770,0.005713,0,0,0.032770,0.005713,0,0,0.050000,0.005713,0,0,0.050000,0.005000
A24031,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.011986,0.026479,0,0,0.011986,0.026479,0,0,0.050000,0.026479,0,0,0.050000,0.005000
A24033,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.014520,0.004809,0,0,0.014520,0.004809,0,0,0.050000,0.004809,0,0,0.050000,0.005000
A24035,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.006346,0.012997,0,0,0.006346,0.012997,0,0,0.050000,0.012997,0,0,0.050000,0.005000
A24037,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.013495,0.001769,0,0,0.013495,0.001769,0,0,0.050000,0.001769,0,0,0.050000,0.005000
A24039,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.431747,0.029712,0,0,0.431747,0.029712,0,0,0.050000,0.029712,0,0,0.050000,0.005000
A24041,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.084043,0.004344,0,0,0.084043,0.004344,0,0,0.050000,0.004344,0,0,0.050000,0.005000
A24043,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.000925,1.000000,0,0,0.000925,1.000000,0,0,0.050000,1.000000,0,0,0.050000,0.005000
A24045,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.103073,0.028942,0,0,0.103073,0.028942,0,0,0.050000,0.028942,0,0,0.050000,0.005000
A24047,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.205594,0.101898,0,0,0.205594,0.101898,0,0,0.050000,0.101898,0,0,0.050000,0.005000
A24510,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.202896,0.010000,0,0,0.202896,0.010000,0,0,0.050000,0.010000,0,0,0.050000,0.005000
A36003,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.327992,0.012256,0,0,0.327992,0.012256,0,0,0.050000,0.012256,0,0,0.050000,0.005000
A36007,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.447063,0.020451,0,0,0.447063,0.020451,0,0,0.050000,0.020451,0,0,0.050000,0.005000
A36015,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.381039,0.013745,0,0,0.381039,0.013745,0,0,0.050000,0.013745,0,0,0.050000,0.005000
A36017,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.538454,0.024194,0,0,0.538454,0.024194,0,0,0.050000,0.024194,0,0,0.050000,0.005000
A36023,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.437100,0.023744,0,0,0.437100,0.023744,0,0,0.050000,0.023744,0,0,0.050000,0.005000
A36025,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.545453,0.019856,0,0,0.545453,0.019856,0,0,0.050000,0.019856,0,0,0.050000,0.005000
A36043,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.272019,0.024776,0,0,0.272019,0.024776,0,0,0.050000,0.024776,0,0,0.050000,0.005000
A36051,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.527118,0.048265,0,0,0.527118,0.048265,0,0,0.050000,0.048265,0,0,0.050000,0.005000
A36053,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.184419,0.037782,0,0,0.184419,0.037782,0,0,0.050000,0.037782,0,0,0.050000,0.005000
A36065,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.320710,0.042276,0,0,0.320710,0.042276,0,0,0.050000,0.042276,0,0,0.050000,0.005000
A36067,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.315427,0.045452,0,0,0.315427,0.045452,0,0,0.050000,0.045452,0,0,0.050000,0.005000
A36069,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.393677,0.029987,0,0,0.393677,0.029987,0,0,0.050000,0.029987,0,0,0.050000,0.005000
A36077,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.236686,0.020710,0,0,0.236686,0.020710,0,0,0.050000,0.020710,0,0,0.050000,0.005000
A36095,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.440373,0.031195,0,0,0.440373,0.031195,0,0,0.050000,0.031195,0,0,0.050000,0.005000
A36097,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.336252,0.012043,0,0,0.336252,0.012043,0,0,0.050000,0.012043,0,0,0.050000,0.005000
A36101,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.157527,0.013819,0,0,0.157527,0.013819,0,0,0.050000,0.013819,0,0,0.050000,0.005000
A36107,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.311236,0.007476,0,0,0.311236,0.007476,0,0,0.050000,0.007476,0,0,0.050000,0.005000
A36109,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.701221,0.023830,0,0,0.701221,0.023830,0,0,0.050000,0.023830,0,0,0.050000,0.005000
A36123,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.383248,0.018779,0,0,0.383248,0.018779,0,0,0.050000,0.018779,0,0,0.050000,0.005000
A37001,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.05,0.01,0,0,0.05,0.01,0,0,0.05,0.01,0,0,0.05,0.0001
A37005,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.05,0.01,0,0,0.05,0.01,0,0,0.05,0.01,0,0,0.05,0.0001
A37009,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.05,0.01,0,0,0.05,0.01,0,0,0.05,0.01,0,0,0.05,0.0001
A37033,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.05,0.01,0,0,0.05,0.01,0,0,0.05,0.01,0,0,0.05,0.0001
A37067,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.05,0.01,0,0,0.05,0.01,0,0,0.05,0.01,0,0,0.05,0.0001
A37077,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.05,0.01,0,0,0.05,0.01,0,0,0.05,0.01,0,0,0.05,0.0001
A37081,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.05,0.01,0,0,0.05,0.01,0,0,0.05,0.01,0,0,0.05,0.0001
A37131,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.05,0.01,0,0,0.05,0.01,0,0,0.05,0.01,0,0,0.05,0.0001
A37135,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.05,0.01,0,0,0.05,0.01,0,0,0.05,0.01,0,0,0.05,0.0001
A37145,1,1,100,1,1,1,0,0,0,0,0,0,0,0,1.07,1.05,1.05,1.07,1.07,0,0,0.05,0.01,0,0,0.05,0.01,0,0,0.05,0.01,0,0,0.05,0.0001
