TABLE->,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-PROPS#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1,QUAL-INPUT#1
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.036417,0.176202,0,0.003640,0.036417,0.500000,0.000176,0.024249
A10003,1,0,0,1,0,1,0,1,0,0.023449,0.113456,0,0.002344,0.023449,0.500000,0.000113,0.018201
A10005,1,0,0,1,0,1,0,1,0,0.078173,0.378233,0,0.007814,0.078173,0.500000,0.000378,0.016459
A11001,1,0,0,1,0,1,0,1,0,0.057636,0.278866,0,0.005761,0.057636,0.500000,0.000279,0.036273
A24001,1,0,0,1,0,1,0,1,0,0.020814,0.100704,0,0.002081,0.020814,0.500000,0.000101,0.042659
A24003,1,0,0,1,0,1,0,1,0,0.011234,0.054356,0,0.001123,0.011234,0.500000,0.000054,0.020942
A24005,1,0,0,1,0,1,0,1,0,0.014324,0.069306,0,0.001432,0.014324,0.500000,0.000069,0.020390
A24009,1,0,0,1,0,1,0,1,0,0.006738,0.032603,0,0.000673,0.006738,0.500000,0.000033,0.024096
A24011,1,0,0,1,0,1,0,1,0,0.035490,0.171713,0,0.003548,0.035490,0.500000,0.000172,0.019788
A24013,1,0,0,1,0,1,0,1,0,0.025345,0.122631,0,0.002534,0.025345,0.500000,0.000123,0.026343
A24015,1,0,0,1,0,1,0,1,0,0.016336,0.079041,0,0.001633,0.016336,0.500000,0.000079,0.025058
A24017,1,0,0,1,0,1,0,1,0,0.008410,0.040690,0,0.000841,0.008410,0.500000,0.000041,0.032544
A24019,1,0,0,1,0,1,0,1,0,0.033342,0.161323,0,0.003333,0.033342,0.500000,0.000161,0.023643
A24021,1,0,0,1,0,1,0,1,0,0.011966,0.057898,0,0.001196,0.011966,0.500000,0.000058,0.027063
A24023,1,0,0,1,0,1,0,1,0,0.020705,0.100181,0,0.002070,0.020705,0.500000,0.000100,0.018262
A24025,1,0,0,1,0,1,0,1,0,0.016975,0.082132,0,0.001697,0.016975,0.500000,0.000082,0.017984
A24027,1,0,0,1,0,1,0,1,0,0.014861,0.071905,0,0.001486,0.014861,0.500000,0.000072,0.023527
A24029,1,0,0,1,0,1,0,1,0,0.019929,0.096424,0,0.001992,0.019929,0.500000,0.000096,0.017975
A24031,1,0,0,1,0,1,0,1,0,0.011903,0.057592,0,0.001190,0.011903,0.500000,0.000058,0.026370
A24033,1,0,0,1,0,1,0,1,0,0.005487,0.026551,0,0.000548,0.005487,0.500000,0.000027,0.031674
A24035,1,0,0,1,0,1,0,1,0,0.027260,0.131896,0,0.002725,0.027260,0.500000,0.000132,0.019097
A24037,1,0,0,1,0,1,0,1,0,0.014125,0.068341,0,0.001412,0.014125,0.500000,0.000068,0.032405
A24039,1,0,0,1,0,1,0,1,0,0.034249,0.165709,0,0.003424,0.034249,0.500000,0.000166,0.023915
A24041,1,0,0,1,0,1,0,1,0,0.040112,0.194078,0,0.004010,0.040112,0.500000,0.000194,0.019049
A24043,1,0,0,1,0,1,0,1,0,0.024135,0.116774,0,0.002413,0.024135,0.500000,0.000117,0.019826
A24045,1,0,0,1,0,1,0,1,0,0.034146,0.165212,0,0.003413,0.034146,0.500000,0.000165,0.028770
A24047,1,0,0,1,0,1,0,1,0,0.030308,0.146641,0,0.003030,0.030308,0.500000,0.000147,0.027492
A24510,1,0,0,1,0,1,0,1,0,0.031313,0.151507,0,0.003130,0.031313,0.500000,0.000152,0.018253
A36003,1,0,0,1,0,1,0,1,0,0.025385,0.122820,0,0.002537,0.025385,0.500000,0.000123,0.036531
A36007,1,0,0,1,0,1,0,1,0,0.031658,0.153172,0,0.003165,0.031658,0.500000,0.000153,0.021650
A36011,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A36015,1,0,0,1,0,1,0,1,0,0.021079,0.101990,0,0.002107,0.021079,0.500000,0.000102,0.038662
A36017,1,0,0,1,0,1,0,1,0,0.021700,0.104992,0,0.002169,0.021700,0.500000,0.000105,0.017778
A36023,1,0,0,1,0,1,0,1,0,0.029316,0.141841,0,0.002930,0.029316,0.500000,0.000142,0.015940
A36025,1,0,0,1,0,1,0,1,0,0.028358,0.137208,0,0.002835,0.028358,0.500000,0.000137,0.020399
A36043,1,0,0,1,0,1,0,1,0,0.018898,0.091436,0,0.001889,0.018898,0.500000,0.000091,0.017926
A36051,1,0,0,1,0,1,0,1,0,0.022426,0.108505,0,0.002242,0.022426,0.500000,0.000109,0.025273
A36053,1,0,0,1,0,1,0,1,0,0.024796,0.119973,0,0.002479,0.024796,0.500000,0.000120,0.016651
A36065,1,0,0,1,0,1,0,1,0,0.027027,0.130767,0,0.002702,0.027027,0.500000,0.000131,0.016942
A36067,1,0,0,1,0,1,0,1,0,0.028743,0.139071,0,0.002873,0.028743,0.500000,0.000139,0.015875
A36069,1,0,0,1,0,1,0,1,0,0.032241,0.155994,0,0.003223,0.032241,0.500000,0.000156,0.026767
A36077,1,0,0,1,0,1,0,1,0,0.025135,0.121612,0,0.002513,0.025135,0.500000,0.000122,0.018675
A36095,1,0,0,1,0,1,0,1,0,0.027297,0.132072,0,0.002729,0.027297,0.500000,0.000132,0.018512
A36097,1,0,0,1,0,1,0,1,0,0.041956,0.202999,0,0.004194,0.041956,0.500000,0.000203,0.028260
A36101,1,0,0,1,0,1,0,1,0,0.026428,0.127870,0,0.002642,0.026428,0.500000,0.000128,0.033128
A36107,1,0,0,1,0,1,0,1,0,0.033588,0.162512,0,0.003358,0.033588,0.500000,0.000163,0.025920
A36109,1,0,0,1,0,1,0,1,0,0.029292,0.141727,0,0.002928,0.029292,0.500000,0.000142,0.024719
A36123,1,0,0,1,0,1,0,1,0,0.026637,0.128882,0,0.002663,0.026637,0.500000,0.000129,0.026640
A37001,1,0,0,1,0,1,0,1,0,0.005863,0.016967,0,0.000586,0.005863,0.500000,0.000017,0.000016
A37005,1,0,0,1,0,1,0,1,0,0.014869,0.028623,0,0.001486,0.014869,0.500000,0.000029,0.000011
A37009,1,0,0,1,0,1,0,1,0,0.021470,0.036989,0,0.002147,0.021470,0.500000,0.000037,0.000011
A37033,1,0,0,1,0,1,0,1,0,0.008471,0.027046,0,0.000847,0.008471,0.500000,0.000027,0.000018
A37067,1,0,0,1,0,1,0,1,0,0.009352,0.027062,0,0.000935,0.009352,0.500000,0.000028,0.000015
A37077,1,0,0,1,0,1,0,1,0,0.005364,0.016384,0,0.000536,0.005364,0.500000,0.000017,0.000014
A37081,1,0,0,1,0,1,0,1,0,0.010928,0.034503,0,0.001093,0.010928,0.500000,0.000034,0.000014
A37131,1,0,0,1,0,1,0,1,0,0.015869,0.035132,0,0.001587,0.015869,0.500000,0.000036,0.000030
A37135,1,0,0,1,0,1,0,1,0,0.006567,0.019833,0,0.000657,0.006567,0.500000,0.000020,0.000015
A37145,1,0,0,1,0,1,0,1,0,0.002809,0.014496,0,0.000281,0.002809,0.500000,0.000015,0.000011
A37157,1,0,0,1,0,1,0,1,0,0.008634,0.028032,0,0.000863,0.008634,0.500000,0.000028,0.000015
A37169,1,0,0,1,0,1,0,1,0,0.005665,0.018578,0,0.000566,0.005665,0.500000,0.000019,0.000011
A37171,1,0,0,1,0,1,0,1,0,0.005923,0.018157,0,0.000592,0.005923,0.500000,0.000018,0.841E-05
A37181,1,0,0,1,0,1,0,1,0,0.006135,0.018521,0,0.000613,0.006135,0.500000,0.000019,0.000015
A37185,1,0,0,1,0,1,0,1,0,0.006470,0.018605,0,0.000647,0.006470,0.500000,0.000019,0.000016
A37189,1,0,0,1,0,1,0,1,0,0.003642,0.012016,0,0.000365,0.003642,0.500000,0.000012,0.562E-05
A42001,1,0,0,1,0,1,0,1,0,0.016275,0.078743,0,0.001627,0.016275,0.500000,0.000079,0.039787
A42009,1,0,0,1,0,1,0,1,0,0.018844,0.091173,0,0.001884,0.018844,0.500000,0.000091,0.023817
A42011,1,0,0,1,0,1,0,1,0,0.011400,0.055158,0,0.001140,0.011400,0.500000,0.000055,0.021835
A42013,1,0,0,1,0,1,0,1,0,0.022784,0.110236,0,0.002277,0.022784,0.500000,0.000110,0.020359
A42015,1,0,0,1,0,1,0,1,0,0.016715,0.080875,0,0.001671,0.016715,0.500000,0.000081,0.029201
A42021,1,0,0,1,0,1,0,1,0,0.023612,0.114244,0,0.002360,0.023612,0.500000,0.000114,0.018960
A42023,1,0,0,1,0,1,0,1,0,0.023290,0.112685,0,0.002328,0.023290,0.500000,0.000113,0.021347
A42025,1,0,0,1,0,1,0,1,0,0.014802,0.071620,0,0.001480,0.014802,0.500000,0.000072,0.023725
A42027,1,0,0,1,0,1,0,1,0,0.016470,0.079688,0,0.001646,0.016470,0.500000,0.000080,0.017518
A42029,1,0,0,1,0,1,0,1,0,0.012158,0.058827,0,0.001215,0.012158,0.500000,0.000059,0.022242
A42033,1,0,0,1,0,1,0,1,0,0.053658,0.259618,0,0.005364,0.053658,0.500000,0.000260,0.016728
A42035,1,0,0,1,0,1,0,1,0,0.026928,0.130291,0,0.002692,0.026928,0.500000,0.000130,0.016748
A42037,1,0,0,1,0,1,0,1,0,0.017732,0.085794,0,0.001773,0.017732,0.500000,0.000086,0.017852
A42041,1,0,0,1,0,1,0,1,0,0.015303,0.074041,0,0.001530,0.015303,0.500000,0.000074,0.021668
A42043,1,0,0,1,0,1,0,1,0,0.018487,0.089448,0,0.001848,0.018487,0.500000,0.000089,0.029223
A42047,1,0,0,1,0,1,0,1,0,0.052564,0.254327,0,0.005254,0.052564,0.500000,0.000254,0.020574
A42055,1,0,0,1,0,1,0,1,0,0.015433,0.074671,0,0.001543,0.015433,0.500000,0.000075,0.020431
A42057,1,0,0,1,0,1,0,1,0,0.022560,0.109155,0,0.002255,0.022560,0.500000,0.000109,0.036405
A42061,1,0,0,1,0,1,0,1,0,0.014414,0.069743,0,0.001441,0.014414,0.500000,0.000070,0.023701
A42063,1,0,0,1,0,1,0,1,0,0.026023,0.125909,0,0.002601,0.026023,0.500000,0.000126,0.020860
A42065,1,0,0,1,0,1,0,1,0,0.019145,0.092632,0,0.001914,0.019145,0.500000,0.000093,0.021046
A42067,1,0,0,1,0,1,0,1,0,0.016759,0.081088,0,0.001675,0.016759,0.500000,0.000081,0.026424
A42069,1,0,0,1,0,1,0,1,0,0.047690,0.230744,0,0.004767,0.047690,0.500000,0.000231,0.016430
A42071,1,0,0,1,0,1,0,1,0,0.012112,0.058604,0,0.001211,0.012112,0.500000,0.000059,0.020241
A42075,1,0,0,1,0,1,0,1,0,0.018053,0.087347,0,0.001805,0.018053,0.500000,0.000087,0.017073
A42079,1,0,0,1,0,1,0,1,0,0.026691,0.129143,0,0.002668,0.026691,0.500000,0.000129,0.019329
A42081,1,0,0,1,0,1,0,1,0,0.015177,0.073434,0,0.001517,0.015177,0.500000,0.000073,0.016907
A42083,1,0,0,1,0,1,0,1,0,0.048092,0.232687,0,0.004807,0.048092,0.500000,0.000233,0.020516
A42087,1,0,0,1,0,1,0,1,0,0.015825,0.076569,0,0.001582,0.015825,0.500000,0.000077,0.021133
A42093,1,0,0,1,0,1,0,1,0,0.009316,0.045076,0,0.000931,0.009316,0.500000,0.000045,0.035121
A42097,1,0,0,1,0,1,0,1,0,0.012348,0.059746,0,0.001234,0.012348,0.500000,0.000060,0.015769
A42099,1,0,0,1,0,1,0,1,0,0.018361,0.088839,0,0.001835,0.018361,0.500000,0.000089,0.021539
A42105,1,0,0,1,0,1,0,1,0,0.025017,0.121043,0,0.002501,0.025017,0.500000,0.000121,0.020579
A42107,1,0,0,1,0,1,0,1,0,0.014972,0.072438,0,0.001497,0.014972,0.500000,0.000072,0.016940
A42109,1,0,0,1,0,1,0,1,0,0.014012,0.067793,0,0.001401,0.014012,0.500000,0.000068,0.025184
A42111,1,0,0,1,0,1,0,1,0,0.023696,0.114653,0,0.002369,0.023696,0.500000,0.000115,0.021649
A42113,1,0,0,1,0,1,0,1,0,0.035976,0.174066,0,0.003596,0.035976,0.500000,0.000174,0.017199
A42115,1,0,0,1,0,1,0,1,0,0.038503,0.186293,0,0.003849,0.038503,0.500000,0.000186,0.019964
A42117,1,0,0,1,0,1,0,1,0,0.021381,0.103451,0,0.002137,0.021381,0.500000,0.000103,0.025905
