TABLE->,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.003413,0.341838,0,0.000342,0.003413,0.500000,0.000342,0.000681
A10003,1,0,0,1,0,1,0,1,0,0.000879,0.088045,0,0.000088,0.000879,0.500000,0.000088,0.000482
A10005,1,0,0,1,0,1,0,1,0,0.016062,1.608591,0,0.001609,0.016062,0.500000,0.001609,0.000455
A11001,1,0,0,1,0,1,0,1,0,0.013150,1.316987,0,0.001317,0.013150,0.500000,0.001317,0.000994
A24001,1,0,0,1,0,1,0,1,0,0.002507,0.251035,0,0.000251,0.002507,0.500000,0.000251,0.001156
A24003,1,0,0,1,0,1,0,1,0,0.001349,0.135072,0,0.000135,0.001349,0.500000,0.000135,0.000545
A24005,1,0,0,1,0,1,0,1,0,0.000571,0.057159,0,0.000057,0.000571,0.500000,0.000057,0.000554
A24009,1,0,0,1,0,1,0,1,0,0.000636,0.063676,0,0.000064,0.000636,0.500000,0.000064,0.000659
A24011,1,0,0,1,0,1,0,1,0,0.009336,0.935006,0,0.000935,0.009336,0.500000,0.000935,0.000511
A24013,1,0,0,1,0,1,0,1,0,0.000838,0.083914,0,0.000084,0.000838,0.500000,0.000084,0.000713
A24015,1,0,0,1,0,1,0,1,0,0.001400,0.140180,0,0.000140,0.001400,0.500000,0.000140,0.000689
A24017,1,0,0,1,0,1,0,1,0,0.001847,0.184989,0,0.000185,0.001847,0.500000,0.000185,0.000882
A24019,1,0,0,1,0,1,0,1,0,0.005683,0.569134,0,0.000569,0.005683,0.500000,0.000569,0.000638
A24021,1,0,0,1,0,1,0,1,0,0.000492,0.049277,0,0.000049,0.000492,0.500000,0.000049,0.000736
A24023,1,0,0,1,0,1,0,1,0,0.001164,0.116564,0,0.000117,0.001164,0.500000,0.000117,0.000479
A24025,1,0,0,1,0,1,0,1,0,0.001767,0.176947,0,0.000177,0.001767,0.500000,0.000177,0.000480
A24027,1,0,0,1,0,1,0,1,0,0.000224,0.022477,0,0.000022,0.000224,0.500000,0.000022,0.000641
A24029,1,0,0,1,0,1,0,1,0,0.000575,0.057561,0,0.000058,0.000575,0.500000,0.000058,0.000477
A24031,1,0,0,1,0,1,0,1,0,0.000596,0.059691,0,0.000060,0.000596,0.500000,0.000060,0.000715
A24033,1,0,0,1,0,1,0,1,0,0.000242,0.024155,0,0.000024,0.000242,0.500000,0.000024,0.000864
A24035,1,0,0,1,0,1,0,1,0,0.004041,0.404722,0,0.000405,0.004041,0.500000,0.000405,0.000504
A24037,1,0,0,1,0,1,0,1,0,0.002276,0.227910,0,0.000228,0.002276,0.500000,0.000228,0.000878
A24039,1,0,0,1,0,1,0,1,0,0.006777,0.678673,0,0.000679,0.006777,0.500000,0.000679,0.000640
A24041,1,0,0,1,0,1,0,1,0,0.011274,1.129097,0,0.001129,0.011274,0.500000,0.001129,0.000523
A24043,1,0,0,1,0,1,0,1,0,0.000580,0.058117,0,0.000058,0.000580,0.500000,0.000058,0.000554
A24045,1,0,0,1,0,1,0,1,0,0.003582,0.358737,0,0.000359,0.003582,0.500000,0.000359,0.000772
A24047,1,0,0,1,0,1,0,1,0,0.002304,0.230784,0,0.000231,0.002304,0.500000,0.000231,0.000752
A24510,1,0,0,1,0,1,0,1,0,0.002332,0.233521,0,0.000234,0.002332,0.500000,0.000234,0.000491
A36003,1,0,0,1,0,1,0,1,0,0.000699,0.069990,0,0.000070,0.000699,0.500000,0.000070,0.000983
A36007,1,0,0,1,0,1,0,1,0,0.003305,0.331004,0,0.000331,0.003305,0.500000,0.000331,0.000574
A36011,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,0.002184
A36015,1,0,0,1,0,1,0,1,0,0.001152,0.115387,0,0.000115,0.001152,0.500000,0.000115,0.001030
A36017,1,0,0,1,0,1,0,1,0,0.001685,0.168775,0,0.000169,0.001685,0.500000,0.000169,0.000469
A36023,1,0,0,1,0,1,0,1,0,0.003267,0.327192,0,0.000327,0.003267,0.500000,0.000327,0.000427
A36025,1,0,0,1,0,1,0,1,0,0.001618,0.162033,0,0.000162,0.001618,0.500000,0.000162,0.000545
A36043,1,0,0,1,0,1,0,1,0,0.002045,0.204806,0,0.000205,0.002045,0.500000,0.000205,0.000478
A36051,1,0,0,1,0,1,0,1,0,0.001260,0.126170,0,0.000126,0.001260,0.500000,0.000126,0.000674
A36053,1,0,0,1,0,1,0,1,0,0.003688,0.369366,0,0.000369,0.003688,0.500000,0.000369,0.000444
A36065,1,0,0,1,0,1,0,1,0,0.002923,0.292722,0,0.000293,0.002923,0.500000,0.000293,0.000450
A36067,1,0,0,1,0,1,0,1,0,0.006507,0.651715,0,0.000652,0.006507,0.500000,0.000652,0.000425
A36069,1,0,0,1,0,1,0,1,0,0.000722,0.072294,0,0.000072,0.000722,0.500000,0.000072,0.000719
A36077,1,0,0,1,0,1,0,1,0,0.000308,0.030861,0,0.000031,0.000308,0.500000,0.000031,0.000498
A36095,1,0,0,1,0,1,0,1,0,0.001898,0.190066,0,0.000190,0.001898,0.500000,0.000190,0.000494
A36097,1,0,0,1,0,1,0,1,0,0.001596,0.159822,0,0.000160,0.001596,0.500000,0.000160,0.000752
A36101,1,0,0,1,0,1,0,1,0,0.002246,0.224890,0,0.000225,0.002246,0.500000,0.000225,0.000889
A36107,1,0,0,1,0,1,0,1,0,0.001199,0.120032,0,0.000120,0.001199,0.500000,0.000120,0.000693
A36109,1,0,0,1,0,1,0,1,0,0.003993,0.399880,0,0.000400,0.003993,0.500000,0.000400,0.000659
A36123,1,0,0,1,0,1,0,1,0,0.001486,0.148783,0,0.000149,0.001486,0.500000,0.000149,0.000715
A37001,1,0,0,1,0,1,0,1,0,0.000150,0.007185,0,0.000015,0.000150,0.500000,0.719E-05,0.531E-06
A37005,1,0,0,1,0,1,0,1,0,0.000107,0.005683,0,0.000010,0.000107,0.500000,0.568E-05,0.235E-06
A37009,1,0,0,1,0,1,0,1,0,0.000080,0.005010,0,0.792E-05,0.000080,0.500000,0.501E-05,0.169E-06
A37033,1,0,0,1,0,1,0,1,0,0.000145,0.008851,0,0.000014,0.000145,0.500000,0.850E-05,0.535E-06
A37067,1,0,0,1,0,1,0,1,0,0.000216,0.011717,0,0.000021,0.000216,0.500000,0.000012,0.489E-06
A37077,1,0,0,1,0,1,0,1,0,0.000075,0.004605,0,0.775E-05,0.000075,0.500000,0.460E-05,0.398E-06
A37081,1,0,0,1,0,1,0,1,0,0.000265,0.014192,0,0.000027,0.000265,0.500000,0.000014,0.495E-06
A37131,1,0,0,1,0,1,0,1,0,0.000110,0.007026,0,0.000011,0.000110,0.500000,0.702E-05,0.612E-06
A37135,1,0,0,1,0,1,0,1,0,0.000148,0.007101,0,0.000015,0.000148,0.500000,0.710E-05,0.524E-06
A37145,1,0,0,1,0,1,0,1,0,0.000187,0.010583,0,0.000019,0.000187,0.500000,0.000010,0.589E-06
A37157,1,0,0,1,0,1,0,1,0,0.000150,0.008858,0,0.000015,0.000150,0.500000,0.898E-05,0.479E-06
A37169,1,0,0,1,0,1,0,1,0,0.000186,0.010823,0,0.000019,0.000186,0.500000,0.000011,0.387E-06
A37171,1,0,0,1,0,1,0,1,0,0.000155,0.007319,0,0.000016,0.000155,0.500000,0.732E-05,0.309E-06
A37181,1,0,0,1,0,1,0,1,0,0.000080,0.005268,0,0.805E-05,0.000080,0.500000,0.527E-05,0.399E-06
A37185,1,0,0,1,0,1,0,1,0,0.000115,0.006240,0,0.000011,0.000115,0.500000,0.624E-05,0.483E-06
A37189,1,0,0,1,0,1,0,1,0,0.000059,0.003524,0,0.592E-05,0.000059,0.500000,0.352E-05,0.167E-06
A42001,1,0,0,1,0,1,0,1,0,0.002990,0.299400,0,0.000299,0.002990,0.500000,0.000299,0.001068
A42009,1,0,0,1,0,1,0,1,0,0.000663,0.066397,0,0.000066,0.000663,0.500000,0.000066,0.000640
A42011,1,0,0,1,0,1,0,1,0,0.000882,0.088316,0,0.000088,0.000882,0.500000,0.000088,0.000567
A42013,1,0,0,1,0,1,0,1,0,0.002873,0.287732,0,0.000288,0.002873,0.500000,0.000288,0.000545
A42015,1,0,0,1,0,1,0,1,0,0.002499,0.250279,0,0.000250,0.002499,0.500000,0.000250,0.000779
A42021,1,0,0,1,0,1,0,1,0,0.002659,0.266289,0,0.000266,0.002659,0.500000,0.000266,0.000500
A42023,1,0,0,1,0,1,0,1,0,0.002078,0.208105,0,0.000208,0.002078,0.500000,0.000208,0.000557
A42025,1,0,0,1,0,1,0,1,0,0.001096,0.109762,0,0.000110,0.001096,0.500000,0.000110,0.000620
A42027,1,0,0,1,0,1,0,1,0,0.000529,0.052985,0,0.000053,0.000529,0.500000,0.000053,0.000475
A42029,1,0,0,1,0,1,0,1,0,0.001368,0.137018,0,0.000137,0.001368,0.500000,0.000137,0.000599
A42033,1,0,0,1,0,1,0,1,0,0.000159,0.015946,0,0.000016,0.000159,0.500000,0.000016,0.000447
A42035,1,0,0,1,0,1,0,1,0,0.001062,0.106374,0,0.000106,0.001062,0.500000,0.000106,0.000446
A42037,1,0,0,1,0,1,0,1,0,0.001618,0.162049,0,0.000162,0.001618,0.500000,0.000162,0.000467
A42041,1,0,0,1,0,1,0,1,0,0.000595,0.059546,0,0.000060,0.000595,0.500000,0.000060,0.000584
A42043,1,0,0,1,0,1,0,1,0,0.002009,0.201209,0,0.000201,0.002009,0.500000,0.000201,0.000797
A42047,1,0,0,1,0,1,0,1,0,0.002693,0.269686,0,0.000270,0.002693,0.500000,0.000270,0.000541
A42055,1,0,0,1,0,1,0,1,0,0.000967,0.096884,0,0.000097,0.000967,0.500000,0.000097,0.000561
A42057,1,0,0,1,0,1,0,1,0,0.000411,0.041124,0,0.000041,0.000411,0.500000,0.000041,0.000982
A42061,1,0,0,1,0,1,0,1,0,0.001214,0.121569,0,0.000122,0.001214,0.500000,0.000122,0.000632
A42063,1,0,0,1,0,1,0,1,0,0.000541,0.054148,0,0.000054,0.000541,0.500000,0.000054,0.000545
A42065,1,0,0,1,0,1,0,1,0,0.000684,0.068530,0,0.000069,0.000684,0.500000,0.000069,0.000550
A42067,1,0,0,1,0,1,0,1,0,0.001789,0.179198,0,0.000179,0.001789,0.500000,0.000179,0.000710
A42069,1,0,0,1,0,1,0,1,0,0.001328,0.133033,0,0.000133,0.001328,0.500000,0.000133,0.000442
A42071,1,0,0,1,0,1,0,1,0,0.000452,0.045224,0,0.000045,0.000452,0.500000,0.000045,0.000550
A42075,1,0,0,1,0,1,0,1,0,0.001547,0.154924,0,0.000155,0.001547,0.500000,0.000155,0.000462
A42079,1,0,0,1,0,1,0,1,0,0.003704,0.370928,0,0.000371,0.003704,0.500000,0.000371,0.000514
A42081,1,0,0,1,0,1,0,1,0,0.002367,0.237007,0,0.000237,0.002367,0.500000,0.000237,0.000448
A42083,1,0,0,1,0,1,0,1,0,0.005218,0.522537,0,0.000523,0.005218,0.500000,0.000523,0.000543
A42087,1,0,0,1,0,1,0,1,0,0.002243,0.224647,0,0.000225,0.002243,0.500000,0.000225,0.000567
A42093,1,0,0,1,0,1,0,1,0,0.002565,0.256873,0,0.000257,0.002565,0.500000,0.000257,0.000942
A42097,1,0,0,1,0,1,0,1,0,0.000899,0.090000,0,0.000090,0.000899,0.500000,0.000090,0.000423
A42099,1,0,0,1,0,1,0,1,0,0.000530,0.053033,0,0.000053,0.000530,0.500000,0.000053,0.000570
A42105,1,0,0,1,0,1,0,1,0,0.001319,0.132145,0,0.000132,0.001319,0.500000,0.000132,0.000546
A42107,1,0,0,1,0,1,0,1,0,0.001236,0.123757,0,0.000124,0.001236,0.500000,0.000124,0.000445
A42109,1,0,0,1,0,1,0,1,0,0.000072,0.007213,0,0.721E-05,0.000072,0.500000,0.721E-05,0.000688
A42111,1,0,0,1,0,1,0,1,0,0.000587,0.058818,0,0.000059,0.000587,0.500000,0.000059,0.000581
A42113,1,0,0,1,0,1,0,1,0,0.000760,0.076113,0,0.000076,0.000760,0.500000,0.000076,0.000450
A42115,1,0,0,1,0,1,0,1,0,0.003094,0.309858,0,0.000310,0.003094,0.500000,0.000310,0.000526
A42117,1,0,0,1,0,1,0,1,0,0.001124,0.112601,0,0.000113,0.001124,0.500000,0.000113,0.000694
A42119,1,0,0,1,0,1,0,1,0,0.005007,0.501459,0,0.000501,0.005007,0.500000,0.000501,0.000468
A42127,1,0,0,1,0,1,0,1,0,0.004010,0.401641,0,0.000402,0.004010,0.500000,0.000402,0.000392
A42131,1,0,0,1,0,1,0,1,0,0.003109,0.311407,0,0.000311,0.003109,0.500000,0.000311,0.000781
A42133,1,0,0,1,0,1,0,1,0,0.002190,0.219327,0,0.000219,0.002190,0.500000,0.000219,0.000671
A47091,1,0,0,1,0,1,0,1,0,0.000126,0.006774,0,0.000012,0.000126,0.500000,0.677E-05,0.237E-06
A47163,1,0,0,1,0,1,0,1,0,0.000428,0.020026,0,0.000043,0.000428,0.500000,0.000020,0.295E-06
A51001,1,0,0,1,0,1,0,1,0,0.007137,0.714747,0,0.000715,0.007137,0.500000,0.000715,0.000626
A51003,1,0,0,1,0,1,0,1,0,0.000251,0.025101,0,0.000025,0.000251,0.500000,0.000025,0.000695
A51005,1,0,0,1,0,1,0,1,0,0.000492,0.049291,0,0.000049,0.000492,0.500000,0.000049,0.000895
A51007,1,0,0,1,0,1,0,1,0,0.000781,0.078174,0,0.000078,0.000781,0.500000,0.000078,0.001281
A51009,1,0,0,1,0,1,0,1,0,0.000208,0.020905,0,0.000021,0.000208,0.500000,0.000021,0.000610
A51011,1,0,0,1,0,1,0,1,0,0.000403,0.040387,0,0.000040,0.000403,0.500000,0.000040,0.000827
A51013,1,0,0,1,0,1,0,1,0,0.000398,0.039812,0,0.000040,0.000398,0.500000,0.000040,0.000756
A51015,1,0,0,1,0,1,0,1,0,0.000191,0.019121,0,0.000019,0.000191,0.500000,0.000019,0.000758
A51017,1,0,0,1,0,1,0,1,0,0.000494,0.049451,0,0.000049,0.000494,0.500000,0.000049,0.000977
A51019,1,0,0,1,0,1,0,1,0,0.000159,0.015857,0,0.000016,0.000159,0.500000,0.000016,0.000754
A51021,1,0,0,1,0,1,0,1,0,0.000081,0.004802,0,0.784E-05,0.000081,0.500000,0.480E-05,0.305E-06
A51023,1,0,0,1,0,1,0,1,0,0.000104,0.010478,0,0.000010,0.000104,0.500000,0.000010,0.000727
A51025,1,0,0,1,0,1,0,1,0,0.000146,0.007726,0,0.000014,0.000146,0.500000,0.773E-05,0.609E-06
A51027,1,0,0,1,0,1,0,1,0,0.000067,0.004471,0,0.668E-05,0.000067,0.500000,0.447E-05,0.278E-06
A51029,1,0,0,1,0,1,0,1,0,0.000376,0.037607,0,0.000038,0.000376,0.500000,0.000038,0.000976
A51031,1,0,0,1,0,1,0,1,0,0.000656,0.065684,0,0.000066,0.000656,0.500000,0.000066,0.000862
A51033,1,0,0,1,0,1,0,1,0,0.005878,0.588705,0,0.000589,0.005878,0.500000,0.000589,0.000800
A51035,1,0,0,1,0,1,0,1,0,0.000115,0.005971,0,0.000011,0.000115,0.500000,0.597E-05,0.260E-06
A51036,1,0,0,1,0,1,0,1,0,0.003270,0.327502,0,0.000328,0.003270,0.500000,0.000328,0.000867
A51037,1,0,0,1,0,1,0,1,0,0.000173,0.009870,0,0.000017,0.000173,0.500000,0.999E-05,0.434E-06
A51041,1,0,0,1,0,1,0,1,0,0.002207,0.220995,0,0.000221,0.002207,0.500000,0.000221,0.001054
A51043,1,0,0,1,0,1,0,1,0,0.001040,0.104151,0,0.000104,0.001040,0.500000,0.000104,0.001066
A51045,1,0,0,1,0,1,0,1,0,0.000385,0.038570,0,0.000039,0.000385,0.500000,0.000039,0.000604
A51047,1,0,0,1,0,1,0,1,0,0.000435,0.043515,0,0.000044,0.000435,0.500000,0.000044,0.000711
A51049,1,0,0,1,0,1,0,1,0,0.000709,0.070964,0,0.000071,0.000709,0.500000,0.000071,0.000984
A51051,1,0,0,1,0,1,0,1,0,0.000099,0.006028,0,0.986E-05,0.000099,0.500000,0.603E-05,0.360E-06
A51053,1,0,0,1,0,1,0,1,0,0.000553,0.055373,0,0.000055,0.000553,0.500000,0.000055,0.001120
A51057,1,0,0,1,0,1,0,1,0,0.003394,0.339901,0,0.000340,0.003394,0.500000,0.000340,0.000629
A51059,1,0,0,1,0,1,0,1,0,0.000530,0.053100,0,0.000053,0.000530,0.500000,0.000053,0.001026
A51061,1,0,0,1,0,1,0,1,0,0.000947,0.094804,0,0.000095,0.000947,0.500000,0.000095,0.001075
A51063,1,0,0,1,0,1,0,1,0,0.000180,0.009342,0,0.000018,0.000180,0.500000,0.971E-05,0.322E-06
A51065,1,0,0,1,0,1,0,1,0,0.001056,0.105717,0,0.000106,0.001056,0.500000,0.000106,0.000947
A51067,1,0,0,1,0,1,0,1,0,0.000204,0.010071,0,0.000020,0.000204,0.500000,0.000010,0.398E-06
A51069,1,0,0,1,0,1,0,1,0,0.000808,0.080892,0,0.000081,0.000808,0.500000,0.000081,0.001129
A51071,1,0,0,1,0,1,0,1,0,0.001362,0.136383,0,0.000136,0.001362,0.500000,0.000136,0.000606
A51073,1,0,0,1,0,1,0,1,0,0.003436,0.344128,0,0.000344,0.003436,0.500000,0.000344,0.000492
A51075,1,0,0,1,0,1,0,1,0,0.001361,0.136293,0,0.000136,0.001361,0.500000,0.000136,0.000954
A51077,1,0,0,1,0,1,0,1,0,0.000130,0.007814,0,0.000013,0.000130,0.500000,0.781E-05,0.247E-06
A51079,1,0,0,1,0,1,0,1,0,0.000580,0.058080,0,0.000058,0.000580,0.500000,0.000058,0.000772
A51081,1,0,0,1,0,1,0,1,0,0.000149,0.008481,0,0.000015,0.000149,0.500000,0.876E-05,0.642E-06
A51083,1,0,0,1,0,1,0,1,0,0.000122,0.007327,0,0.000012,0.000122,0.500000,0.733E-05,0.535E-06
A51085,1,0,0,1,0,1,0,1,0,0.000201,0.020127,0,0.000020,0.000201,0.500000,0.000020,0.000834
A51087,1,0,0,1,0,1,0,1,0,0.002629,0.263305,0,0.000263,0.002629,0.500000,0.000263,0.000889
A51089,1,0,0,1,0,1,0,1,0,0.000109,0.006886,0,0.000011,0.000109,0.500000,0.688E-05,0.316E-06
A51091,1,0,0,1,0,1,0,1,0,0.000132,0.013164,0,0.000013,0.000132,0.500000,0.000013,0.000862
A51093,1,0,0,1,0,1,0,1,0,0.013010,1.302981,0,0.001303,0.013010,0.500000,0.001303,0.000491
A51095,1,0,0,1,0,1,0,1,0,0.001101,0.110241,0,0.000110,0.001101,0.500000,0.000110,0.000496
A51097,1,0,0,1,0,1,0,1,0,0.000074,0.007457,0,0.745E-05,0.000074,0.500000,0.745E-05,0.000734
A51099,1,0,0,1,0,1,0,1,0,0.000429,0.043008,0,0.000043,0.000429,0.500000,0.000043,0.000483
A51101,1,0,0,1,0,1,0,1,0,0.001691,0.169309,0,0.000169,0.001691,0.500000,0.000169,0.000744
A51103,1,0,0,1,0,1,0,1,0,0.003475,0.347979,0,0.000348,0.003475,0.500000,0.000348,0.000569
A51105,1,0,0,1,0,1,0,1,0,0.000066,0.003641,0,0.652E-05,0.000066,0.500000,0.364E-05,0.282E-06
A51107,1,0,0,1,0,1,0,1,0,0.001045,0.104698,0,0.000105,0.001045,0.500000,0.000105,0.000763
A51109,1,0,0,1,0,1,0,1,0,0.002282,0.228546,0,0.000229,0.002282,0.500000,0.000229,0.001289
A51111,1,0,0,1,0,1,0,1,0,0.000202,0.010927,0,0.000020,0.000202,0.500000,0.000011,0.624E-06
A51113,1,0,0,1,0,1,0,1,0,0.000476,0.047667,0,0.000048,0.000476,0.500000,0.000048,0.000587
A51115,1,0,0,1,0,1,0,1,0,0.007632,0.764298,0,0.000764,0.007632,0.500000,0.000764,0.000487
A51117,1,0,0,1,0,1,0,1,0,0.000159,0.008398,0,0.000016,0.000159,0.500000,0.826E-05,0.574E-06
A51119,1,0,0,1,0,1,0,1,0,0.005620,0.562819,0,0.000563,0.005620,0.500000,0.000563,0.000492
A51121,1,0,0,1,0,1,0,1,0,0.000102,0.010207,0,0.000010,0.000102,0.500000,0.000010,0.000762
A51125,1,0,0,1,0,1,0,1,0,0.000308,0.030846,0,0.000031,0.000308,0.500000,0.000031,0.000471
A51127,1,0,0,1,0,1,0,1,0,0.000309,0.031009,0,0.000031,0.000309,0.500000,0.000031,0.000908
A51131,1,0,0,1,0,1,0,1,0,0.000295,0.029573,0,0.000029,0.000295,0.500000,0.000029,0.000595
A51133,1,0,0,1,0,1,0,1,0,0.000563,0.056418,0,0.000056,0.000563,0.500000,0.000056,0.000592
A51135,1,0,0,1,0,1,0,1,0,0.000903,0.090485,0,0.000090,0.000903,0.500000,0.000090,0.001058
A51137,1,0,0,1,0,1,0,1,0,0.000441,0.044159,0,0.000044,0.000441,0.500000,0.000044,0.000968
A51139,1,0,0,1,0,1,0,1,0,0.000798,0.079961,0,0.000080,0.000798,0.500000,0.000080,0.000886
A51141,1,0,0,1,0,1,0,1,0,0.000147,0.007479,0,0.000014,0.000147,0.500000,0.748E-05,0.287E-06
A51143,1,0,0,1,0,1,0,1,0,0.000177,0.009753,0,0.000017,0.000177,0.500000,0.993E-05,0.464E-06
A51145,1,0,0,1,0,1,0,1,0,0.002006,0.200943,0,0.000201,0.002006,0.500000,0.000201,0.001006
A51147,1,0,0,1,0,1,0,1,0,0.000732,0.073300,0,0.000073,0.000732,0.500000,0.000073,0.001084
A51149,1,0,0,1,0,1,0,1,0,0.001105,0.110701,0,0.000111,0.001105,0.500000,0.000111,0.000611
A51153,1,0,0,1,0,1,0,1,0,0.001814,0.181699,0,0.000182,0.001814,0.500000,0.000182,0.001038
A51155,1,0,0,1,0,1,0,1,0,0.000262,0.013561,0,0.000026,0.000262,0.500000,0.000013,0.419E-06
A51157,1,0,0,1,0,1,0,1,0,0.000875,0.087610,0,0.000088,0.000875,0.500000,0.000088,0.000587
A51159,1,0,0,1,0,1,0,1,0,0.000211,0.021176,0,0.000021,0.000211,0.500000,0.000021,0.000721
A51161,1,0,0,1,0,1,0,1,0,0.000220,0.022081,0,0.000022,0.000220,0.500000,0.000022,0.000737
A51163,1,0,0,1,0,1,0,1,0,0.000072,0.007211,0,0.721E-05,0.000072,0.500000,0.721E-05,0.000784
A51165,1,0,0,1,0,1,0,1,0,0.000202,0.020206,0,0.000020,0.000202,0.500000,0.000020,0.000856
A51167,1,0,0,1,0,1,0,1,0,0.000114,0.006530,0,0.000012,0.000114,0.500000,0.653E-05,0.336E-06
A51169,1,0,0,1,0,1,0,1,0,0.000138,0.008036,0,0.000014,0.000138,0.500000,0.803E-05,0.354E-06
A51171,1,0,0,1,0,1,0,1,0,0.000216,0.021702,0,0.000021,0.000216,0.500000,0.000021,0.000963
A51173,1,0,0,1,0,1,0,1,0,0.000136,0.007696,0,0.000014,0.000136,0.500000,0.770E-05,0.300E-06
A51175,1,0,0,1,0,1,0,1,0,0.000237,0.013713,0,0.000023,0.000237,0.500000,0.000013,0.283E-06
A51177,1,0,0,1,0,1,0,1,0,0.000773,0.077415,0,0.000077,0.000773,0.500000,0.000077,0.001305
A51179,1,0,0,1,0,1,0,1,0,0.000485,0.048599,0,0.000049,0.000485,0.500000,0.000049,0.000995
A51181,1,0,0,1,0,1,0,1,0,0.002547,0.255120,0,0.000255,0.002547,0.500000,0.000255,0.000564
A51183,1,0,0,1,0,1,0,1,0,0.000109,0.006810,0,0.000011,0.000109,0.500000,0.681E-05,0.334E-06
A51185,1,0,0,1,0,1,0,1,0,0.000068,0.004057,0,0.674E-05,0.000068,0.500000,0.406E-05,0.300E-06
A51187,1,0,0,1,0,1,0,1,0,0.000548,0.054833,0,0.000055,0.000548,0.500000,0.000055,0.001122
A51191,1,0,0,1,0,1,0,1,0,0.000282,0.014395,0,0.000029,0.000282,0.500000,0.000014,0.304E-06
A51193,1,0,0,1,0,1,0,1,0,0.000375,0.037554,0,0.000038,0.000375,0.500000,0.000038,0.000669
A51195,1,0,0,1,0,1,0,1,0,0.000087,0.006044,0,0.835E-05,0.000087,0.500000,0.604E-05,0.236E-06
A51197,1,0,0,1,0,1,0,1,0,0.000176,0.009324,0,0.000018,0.000176,0.500000,0.971E-05,0.371E-06
A51199,1,0,0,1,0,1,0,1,0,0.000308,0.030836,0,0.000031,0.000308,0.500000,0.000031,0.000478
A51510,1,0,0,1,0,1,0,1,0,0.001049,0.105091,0,0.000105,0.001049,0.500000,0.000105,0.000673
A51515,1,0,0,1,0,1,0,1,0,0.000047,0.004399,0,0.462E-05,0.000047,0.500000,0.439E-05,0.192E-06
A51520,1,0,0,1,0,1,0,1,0,0.000039,0.003729,0,0.395E-05,0.000039,0.500000,0.372E-05,0.127E-06
A51530,1,0,0,1,0,1,0,1,0,0.000299,0.029976,0,0.000030,0.000299,0.500000,0.000030,0.000881
A51540,1,0,0,1,0,1,0,1,0,0.000295,0.029525,0,0.000029,0.000295,0.500000,0.000029,0.001090
A51550,1,0,0,1,0,1,0,1,0,0.024286,2.432297,0,0.002432,0.024286,0.500000,0.002432,0.000458
A51570,1,0,0,1,0,1,0,1,0,0.019414,1.944284,0,0.001944,0.019414,0.500000,0.001944,0.000501
A51580,1,0,0,1,0,1,0,1,0,0.007075,0.708557,0,0.000709,0.007075,0.500000,0.000709,0.000869
A51590,1,0,0,1,0,1,0,1,0,0.000070,0.006496,0,0.702E-05,0.000070,0.500000,0.650E-05,0.352E-06
A51595,1,0,0,1,0,1,0,1,0,0.000038,0.003520,0,0.378E-05,0.000038,0.500000,0.352E-05,0.312E-06
A51600,1,0,0,1,0,1,0,1,0,0.006278,0.628742,0,0.000629,0.006278,0.500000,0.000629,0.000853
A51610,1,0,0,1,0,1,0,1,0,0.024362,2.439899,0,0.002440,0.024362,0.500000,0.002440,0.000611
A51620,1,0,0,1,0,1,0,1,0,0.000036,0.003328,0,0.360E-05,0.000036,0.500000,0.333E-05,0.120E-06
A51630,1,0,0,1,0,1,0,1,0,0.011348,1.136540,0,0.001137,0.011348,0.500000,0.001137,0.001087
A51640,1,0,0,1,0,1,0,1,0,0.000056,0.005296,0,0.559E-05,0.000056,0.500000,0.530E-05,0.178E-06
A51650,1,0,0,1,0,1,0,1,0,0.020065,2.009467,0,0.002009,0.020065,0.500000,0.002009,0.000449
A51660,1,0,0,1,0,1,0,1,0,0.024584,2.462137,0,0.002462,0.024584,0.500000,0.002462,0.000617
A51670,1,0,0,1,0,1,0,1,0,0.017087,1.711239,0,0.001711,0.017087,0.500000,0.001711,0.000504
A51678,1,0,0,1,0,1,0,1,0,0.015208,1.523104,0,0.001523,0.015208,0.500000,0.001523,0.000783
A51680,1,0,0,1,0,1,0,1,0,0.010843,1.085927,0,0.001086,0.010843,0.500000,0.001086,0.000753
A51683,1,0,0,1,0,1,0,1,0,0.006921,0.693103,0,0.000693,0.006921,0.500000,0.000693,0.000774
