TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A10001,0.4,12.07317416,72.85119123,60,78.72301833,87.55908762,83.66118186,85.62005448,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.472975,0.100000,0.,10.00000,0.472975,na,na,0.365278,0.008960,0.,10.00000,0.365278,na,na,0.036528,0.000100,0.010000,0.224309,0.036528,na,na,0.000100,0.000100,0.010000,0.075632,0.000100,1.036892,5568.078,0.0001,1.07,50000.00,22.74821,0.0001,1.07,22.73674,42.61530,0.0001,1.07,22.73674,42.61530,0.0001,1.07,0.365557,0.073111,0,0,1.07,20
A10003,0.4,11.30319446,72.91490065,60,77.3944312,85.88307496,88.65565537,90.76086608,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000563,0.005249,0.,10.00000,0.000563,na,na,0.000478,0.000315,0.,10.00000,0.000478,na,na,0.000100,0.001632,0.001027,0.452110,0.000100,na,na,0.000100,0.001632,0.001027,0.173958,0.000100,0.100000,44977.40,0.0001,1.07,50000.00,107.7093,0.0001,1.07,11.84451,73.78924,0.0001,1.07,11.84451,73.78924,0.0001,1.07,0.837522,0.167504,0,0,1.07,20
A10005,0.4,17.22599416,69.93049025,60,78.21246576,86.91502556,73.47617719,75.13662918,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.114418,0.074856,0.,10.00000,0.114418,na,na,0.084636,0.004492,0.,10.00000,0.084636,na,na,0.008463,0.000100,0.010000,0.412494,0.008463,na,na,0.000100,0.000100,0.010000,0.068749,0.000100,0.401182,5822.787,0.0001,1.07,50000.00,27.10740,0.0001,1.07,38.28865,72.40593,0.0001,1.07,38.28865,72.40593,0.0001,1.07,0.5,0.1,0,0,1.07,20
A11001,0.4,11.13728401,81.77270037,60,71.70779526,78.70938372,70.98480896,72.57226387,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,1.000000,0.100000,0.,10.00000,1.000000,na,na,1.000000,0.100000,0.,10.00000,1.000000,na,na,1.000000,0.070688,0.100E-04,2.061836,1.000000,na,na,0.000100,0.070688,0.100E-04,1.105284,0.000100,46553.07,33221.45,0.0001,1.07,21.48087,128.8534,0.0001,1.07,2.295295,110.7628,0.0001,1.07,2.295295,110.7628,0.0001,1.07,0.000207,0.000042,0,0,1.07,20
A24001,0.4,8.308930983,70.34325147,60,75.66544418,83.70195784,50.34250628,51.32514172,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,1.000000,0.100000,0.,10.00000,1.000000,na,na,1.000000,0.044105,0.,10.00000,1.000000,na,na,0.371898,0.018064,0.000052,1.832986,0.371898,na,na,0.000100,0.018064,0.000052,1.435677,0.000100,0.205789,46078.11,0.0001,1.07,50000.00,131.9591,0.0001,1.07,6.050850,104.0862,0.0001,1.07,6.050850,104.0862,0.0001,1.07,1.342010,0.268402,0,0,1.07,20
A24003,0.4,12.10283771,66.35545197,60,70.98166967,77.79337629,73.00209691,74.64865835,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.013430,0.017088,0.,10.00000,0.013430,na,na,0.013430,0.001023,0.,10.00000,0.013430,na,na,0.001485,0.002444,0.000696,0.518205,0.001485,na,na,0.000100,0.002444,0.000696,0.089356,0.000100,0.100000,46894.82,0.0001,1.07,50000.00,169.4046,0.0001,1.07,11.45734,110.9322,0.0001,1.07,11.45734,110.9322,0.0001,1.07,0.782252,0.156450,0,0,1.07,20
A24005,0.4,9.638000069,71.05242397,60,72.21493325,79.34913829,72.2324418,73.85645234,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.544443,0.100000,0.,10.00000,0.544443,na,na,0.525204,0.013862,0.,10.00000,0.525204,na,na,0.052520,0.000100,0.010000,0.299775,0.052520,na,na,0.000100,0.000100,0.010000,0.093616,0.000100,0.665251,50000.00,0.0001,1.07,50000.00,105.2960,0.0001,1.07,32.61329,95.78007,0.0001,1.07,32.61329,95.78007,0.0001,1.07,0.614740,0.122948,0,0,1.07,20
A24009,0.4,10.85652495,68.18091367,60,78.29874159,87.02386251,87.34160969,89.40831885,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,1.000000,0.100000,0.,10.00000,1.000000,na,na,1.000000,0.024723,0.,10.00000,1.000000,na,na,0.141188,0.001391,0.000829,0.498837,0.141188,na,na,0.000100,0.001391,0.000829,0.353190,0.000100,5.102199,39385.02,0.0001,1.07,50000.00,228.5131,0.0001,1.07,17.21061,94.85999,0.0001,1.07,17.21061,94.85999,0.0001,1.07,0.042955,0.008591,0,0,1.07,20
A24011,0.4,11.93884591,75.48745117,60,78.95166277,87.84752259,82.48109647,84.4053926,1,1,100,1,1,0,0,1,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.000391,0.006599,0.,10.00000,0.000391,na,na,0.000301,0.000397,0.,10.00000,0.000301,na,na,0.000100,0.001449,0.001218,0.375828,0.000100,na,na,0.000100,0.001449,0.001218,0.113908,0.000100,0.100000,35958.44,0.0001,1.07,50000.00,84.56123,0.0001,1.07,11.26471,70.88898,0.0001,1.07,11.26471,70.88898,0.0001,1.07,0.628842,0.125768,0,0,1.07,20
