TABLE->,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.196164,2.242263,0,0.019620,0.196164,0.500000,0.002242,0.003122
A10003,1,0,0,1,0,1,0,1,0,0.051290,0.586274,0,0.005130,0.051290,0.500000,0.000586,0.002204
A10005,1,0,0,1,0,1,0,1,0,0.407681,4.660013,0,0.040775,0.407681,0.500000,0.004660,0.002080
A11001,1,0,0,1,0,1,0,1,0,0.247233,2.826008,0,0.024728,0.247233,0.500000,0.002826,0.004573
A24001,1,0,0,1,0,1,0,1,0,0.075695,0.865235,0,0.007571,0.075695,0.500000,0.000865,0.005335
A24003,1,0,0,1,0,1,0,1,0,0.064369,0.735767,0,0.006438,0.064369,0.500000,0.000736,0.002569
A24005,1,0,0,1,0,1,0,1,0,0.039043,0.446282,0,0.003905,0.039043,0.500000,0.000446,0.002556
A24009,1,0,0,1,0,1,0,1,0,0.042132,0.481589,0,0.004214,0.042132,0.500000,0.000482,0.003025
A24011,1,0,0,1,0,1,0,1,0,0.187340,2.141396,0,0.018737,0.187340,0.500000,0.002141,0.002404
A24013,1,0,0,1,0,1,0,1,0,0.050233,0.574193,0,0.005024,0.050233,0.500000,0.000574,0.003284
A24015,1,0,0,1,0,1,0,1,0,0.080076,0.915309,0,0.008009,0.080076,0.500000,0.000915,0.003200
A24017,1,0,0,1,0,1,0,1,0,0.091930,1.050808,0,0.009195,0.091930,0.500000,0.001051,0.004074
A24019,1,0,0,1,0,1,0,1,0,0.130541,1.492149,0,0.013056,0.130541,0.500000,0.001492,0.002924
A24021,1,0,0,1,0,1,0,1,0,0.031700,0.362346,0,0.003171,0.031700,0.500000,0.000362,0.003390
A24023,1,0,0,1,0,1,0,1,0,0.052446,0.599484,0,0.005245,0.052446,0.500000,0.000599,0.002210
A24025,1,0,0,1,0,1,0,1,0,0.096205,1.099675,0,0.009622,0.096205,0.500000,0.001100,0.002219
A24027,1,0,0,1,0,1,0,1,0,0.016238,0.185601,0,0.001624,0.016238,0.500000,0.000186,0.002959
A24029,1,0,0,1,0,1,0,1,0,0.038082,0.435300,0,0.003809,0.038082,0.500000,0.000435,0.002212
A24031,1,0,0,1,0,1,0,1,0,0.039298,0.449192,0,0.003930,0.039298,0.500000,0.000449,0.003280
A24033,1,0,0,1,0,1,0,1,0,0.016372,0.187136,0,0.001638,0.016372,0.500000,0.000187,0.003917
A24035,1,0,0,1,0,1,0,1,0,0.211295,2.415213,0,0.021133,0.211295,0.500000,0.002415,0.002383
A24037,1,0,0,1,0,1,0,1,0,0.093764,1.071777,0,0.009378,0.093764,0.500000,0.001072,0.004028
A24039,1,0,0,1,0,1,0,1,0,0.123774,1.414808,0,0.012380,0.123774,0.500000,0.001415,0.002965
A24041,1,0,0,1,0,1,0,1,0,0.195270,2.232035,0,0.019530,0.195270,0.500000,0.002232,0.002353
A24043,1,0,0,1,0,1,0,1,0,0.041087,0.469647,0,0.004109,0.041087,0.500000,0.000470,0.002535
A24045,1,0,0,1,0,1,0,1,0,0.130494,1.491616,0,0.013052,0.130494,0.500000,0.001492,0.003586
A24047,1,0,0,1,0,1,0,1,0,0.101384,1.158872,0,0.010140,0.101384,0.500000,0.001159,0.003540
A24510,1,0,0,1,0,1,0,1,0,0.094322,1.078146,0,0.009434,0.094322,0.500000,0.001078,0.002256
A36003,1,0,0,1,0,1,0,1,0,0.033625,0.384350,0,0.003363,0.033625,0.500000,0.000384,0.004506
A36007,1,0,0,1,0,1,0,1,0,0.098002,1.120218,0,0.009802,0.098002,0.500000,0.001120,0.002635
A36011,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A36015,1,0,0,1,0,1,0,1,0,0.050445,0.576611,0,0.005045,0.050445,0.500000,0.000577,0.004757
A36017,1,0,0,1,0,1,0,1,0,0.069013,0.788861,0,0.006903,0.069013,0.500000,0.000789,0.002151
A36023,1,0,0,1,0,1,0,1,0,0.110557,1.263727,0,0.011058,0.110557,0.500000,0.001264,0.001963
A36025,1,0,0,1,0,1,0,1,0,0.077717,0.888352,0,0.007773,0.077717,0.500000,0.000888,0.002507
A36043,1,0,0,1,0,1,0,1,0,0.085843,0.981233,0,0.008586,0.085843,0.500000,0.000981,0.002198
A36051,1,0,0,1,0,1,0,1,0,0.068578,0.783886,0,0.006859,0.068578,0.500000,0.000784,0.003074
A36053,1,0,0,1,0,1,0,1,0,0.150401,1.719164,0,0.015043,0.150401,0.500000,0.001719,0.002036
A36065,1,0,0,1,0,1,0,1,0,0.134503,1.537442,0,0.013453,0.134503,0.500000,0.001537,0.002068
A36067,1,0,0,1,0,1,0,1,0,0.174913,1.999345,0,0.017494,0.174913,0.500000,0.001999,0.001944
A36069,1,0,0,1,0,1,0,1,0,0.043832,0.501025,0,0.004384,0.043832,0.500000,0.000501,0.003276
A36077,1,0,0,1,0,1,0,1,0,0.021262,0.243036,0,0.002127,0.021262,0.500000,0.000243,0.002276
A36095,1,0,0,1,0,1,0,1,0,0.091898,1.050446,0,0.009191,0.091898,0.500000,0.001050,0.002267
A36097,1,0,0,1,0,1,0,1,0,0.079468,0.908357,0,0.007948,0.079468,0.500000,0.000908,0.003443
A36101,1,0,0,1,0,1,0,1,0,0.097742,1.117240,0,0.009776,0.097742,0.500000,0.001117,0.004089
A36107,1,0,0,1,0,1,0,1,0,0.053846,0.615492,0,0.005386,0.053846,0.500000,0.000615,0.003208
A36109,1,0,0,1,0,1,0,1,0,0.081236,0.928568,0,0.008125,0.081236,0.500000,0.000929,0.003016
