TABLE->,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM1,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM2,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM3,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,PWAT-PARM4,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-INTERCEP,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-UZSN,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-MANNING,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,MON-LZETPARM,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1,PWAT-STATE1
VARS->,CSNO,RTOP,UZFG,VCS,VUZ,VNN,VIFW,VIRC,VLE,FOREST,LZSN,INFILT,LSUR,SLSUR,KVARY,AGWR,PETMAX,PETMIN,INFEXP,INFILD,DEEPFR,BASETPR,AGWETP,CEPSC,UZSN,NSUR,INTFW,IRC,LZETP,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,CEPS,SURS,UZS,IFWS,LZS,AGWS,GWVS
A10001,1,1,0,1,0,0,0,0,0,0,12.00000,0.076862,542,0.007,0.,0.925911,40,35,2,2,0,0,0.001500,NA,1.200000,0.25,2.110834,0.313344,0.5,0.063,0.06,0.065,0.079,0.097,0.1,0.1,0.097,0.097,0.078,0.073,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,5,1,0
A10003,1,1,0,1,0,0,0,0,0,0,12.00000,0.076862,372,0.032,0.,0.925911,40,35,2,2,0,0,0.001500,NA,1.200000,0.25,2.110834,0.313344,0.5,0.063,0.06,0.065,0.079,0.097,0.1,0.1,0.097,0.097,0.078,0.073,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,5,1,0
A10005,1,1,0,1,0,0,0,0,0,0,8.019775,0.170783,583,0.005,0.,0.969468,40,35,2,2,0,0,0.037002,NA,0.801978,0.25,1.318482,0.560250,0.5,0.063,0.06,0.065,0.079,0.097,0.1,0.1,0.097,0.097,0.078,0.073,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,5,1,0
A11001,1,1,0,1,0,0,0,0,0,0,12.00000,0.044006,336,0.044,0.,0.963073,40,35,2,2,0,0,0.001500,NA,1.200000,0.25,2.725749,0.300000,0.5,0.063,0.06,0.065,0.079,0.097,0.1,0.1,0.097,0.097,0.078,0.073,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,5,1,0
A24001,1,1,0,1,0,0,0,0,0,0,12.00000,0.026786,250,0.096,0.,0.920000,40,35,2,2,0,0,0.012497,NA,1.200000,0.25,2.000000,0.438164,0.5,0.063,0.06,0.065,0.079,0.097,0.1,0.1,0.097,0.097,0.078,0.073,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,5,1,0
A24003,1,1,0,1,0,0,0,0,0,0,12.00000,0.061667,321,0.050,0.,0.980493,40,35,2,2,0,0,0.001500,NA,1.200000,0.25,2.145451,0.437647,0.5,0.063,0.06,0.065,0.079,0.097,0.1,0.1,0.097,0.097,0.078,0.073,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,5,1,0
A24005,1,1,0,1,0,0,0,0,0,0,12.00000,0.090405,283,0.071,0.,0.956668,40,35,2,2,0,0,0.001500,NA,1.200000,0.25,2.197956,0.300000,0.5,0.063,0.06,0.065,0.079,0.097,0.1,0.1,0.097,0.097,0.078,0.073,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,5,1,0
A24009,1,1,0,1,0,0,0,0,0,0,12.00000,0.086371,319,0.051,0.,0.920000,40,35,2,2,0,0,0.001500,NA,1.200000,0.25,3.077707,0.332385,0.5,0.063,0.06,0.065,0.079,0.097,0.1,0.1,0.097,0.097,0.078,0.073,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,5,1,0
A24011,1,1,0,1,0,0,0,0,0,0,9.767185,0.082925,558,0.006,0.,0.946019,40,35,2,2,0,0,0.034824,NA,0.976719,0.25,2.000000,0.321404,0.5,0.063,0.06,0.065,0.079,0.097,0.1,0.1,0.097,0.097,0.078,0.073,0.067,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,5,1,0
