TABLE->,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-PROPS#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3,QUAL-INPUT#3
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.003748,0.186848,0,0.000375,0.003748,0.500000,0.000187,0.018486
A10003,1,0,0,1,0,1,0,1,0,0.013134,0.310653,0,0.001314,0.013134,0.500000,0.000311,0.026773
A10005,1,0,0,1,0,1,0,1,0,0.008173,0.266131,0,0.000817,0.008173,0.500000,0.000266,0.017711
A11001,1,0,0,1,0,1,0,1,0,0.003504,0.177711,0,0.000350,0.003504,0.500000,0.000178,0.028522
A24001,1,0,0,1,0,1,0,1,0,0.003739,0.174307,0,0.000374,0.003739,0.500000,0.000174,0.036703
A24003,1,0,0,1,0,1,0,1,0,0.011478,0.286904,0,0.001148,0.011478,0.500000,0.000287,0.029224
A24005,1,0,0,1,0,1,0,1,0,0.005779,0.228005,0,0.000578,0.005779,0.500000,0.000228,0.018465
A24009,1,0,0,1,0,1,0,1,0,0.005551,0.221728,0,0.000555,0.005551,0.500000,0.000222,0.022135
A24011,1,0,0,1,0,1,0,1,0,0.012862,0.305686,0,0.001287,0.012862,0.500000,0.000306,0.028981
A24013,1,0,0,1,0,1,0,1,0,0.005735,0.219955,0,0.000574,0.005735,0.500000,0.000220,0.025566
A24015,1,0,0,1,0,1,0,1,0,0.005310,0.214556,0,0.000531,0.005310,0.500000,0.000215,0.023614
A24017,1,0,0,1,0,1,0,1,0,0.006487,0.234753,0,0.000649,0.006487,0.500000,0.000235,0.035373
A24019,1,0,0,1,0,1,0,1,0,0.010843,0.280992,0,0.001085,0.010843,0.500000,0.000281,0.032840
A24021,1,0,0,1,0,1,0,1,0,0.005147,0.209039,0,0.000514,0.005147,0.500000,0.000209,0.024708
A24023,1,0,0,1,0,1,0,1,0,0.014517,0.301831,0,0.001452,0.014517,0.500000,0.000302,0.031391
A24025,1,0,0,1,0,1,0,1,0,0.009479,0.282794,0,0.000947,0.009479,0.500000,0.000283,0.020631
A24027,1,0,0,1,0,1,0,1,0,0.006125,0.228463,0,0.000612,0.006125,0.500000,0.000228,0.022973
A24029,1,0,0,1,0,1,0,1,0,0.012245,0.309521,0,0.001224,0.012245,0.500000,0.000310,0.024337
A24031,1,0,0,1,0,1,0,1,0,0.003879,0.186630,0,0.000388,0.003879,0.500000,0.000187,0.020447
A24033,1,0,0,1,0,1,0,1,0,0.004698,0.199221,0,0.000470,0.004698,0.500000,0.000199,0.028238
A24035,1,0,0,1,0,1,0,1,0,0.007630,0.259894,0,0.000763,0.007630,0.500000,0.000260,0.019711
A24037,1,0,0,1,0,1,0,1,0,0.005046,0.205219,0,0.000505,0.005046,0.500000,0.000205,0.030466
A24039,1,0,0,1,0,1,0,1,0,0.012196,0.289860,0,0.001220,0.012196,0.500000,0.000290,0.036459
A24041,1,0,0,1,0,1,0,1,0,0.012126,0.304448,0,0.001213,0.012126,0.500000,0.000304,0.026697
A24043,1,0,0,1,0,1,0,1,0,0.002669,0.159726,0,0.000267,0.002669,0.500000,0.000160,0.011432
A24045,1,0,0,1,0,1,0,1,0,0.007606,0.247190,0,0.000760,0.007606,0.500000,0.000247,0.034775
A24047,1,0,0,1,0,1,0,1,0,0.007048,0.238742,0,0.000704,0.007048,0.500000,0.000239,0.031736
A24510,1,0,0,1,0,1,0,1,0,0.012014,0.306085,0,0.001201,0.012014,0.500000,0.000306,0.024540
A36003,1,0,0,1,0,1,0,1,0,0.005887,0.209189,0,0.000589,0.005887,0.500000,0.000209,0.037816
A36007,1,0,0,1,0,1,0,1,0,0.008790,0.258788,0,0.000879,0.008790,0.500000,0.000259,0.026364
A36011,1,0,0,1,0,1,0,1,0,0.245,22.75,0,0.245,2.45,1.64,0.002184,0.002184
A36015,1,0,0,1,0,1,0,1,0,0.005110,0.201769,0,0.000511,0.005110,0.500000,0.000202,0.035303
A36017,1,0,0,1,0,1,0,1,0,0.011668,0.290397,0,0.001167,0.011668,0.500000,0.000290,0.024750
A36023,1,0,0,1,0,1,0,1,0,0.012650,0.312963,0,0.001264,0.012650,0.500000,0.000313,0.021933
A36025,1,0,0,1,0,1,0,1,0,0.009272,0.272556,0,0.000927,0.009272,0.500000,0.000273,0.023932
A36043,1,0,0,1,0,1,0,1,0,0.010968,0.288821,0,0.001096,0.010968,0.500000,0.000289,0.023809
A36051,1,0,0,1,0,1,0,1,0,0.007821,0.256977,0,0.000782,0.007821,0.500000,0.000257,0.026747
A36053,1,0,0,1,0,1,0,1,0,0.010986,0.305039,0,0.001098,0.010986,0.500000,0.000305,0.020281
A36065,1,0,0,1,0,1,0,1,0,0.011624,0.309611,0,0.001163,0.011624,0.500000,0.000310,0.021691
A36067,1,0,0,1,0,1,0,1,0,0.012842,0.320769,0,0.001285,0.012842,0.500000,0.000321,0.021399
A36069,1,0,0,1,0,1,0,1,0,0.006625,0.240087,0,0.000663,0.006625,0.500000,0.000240,0.025840
A36077,1,0,0,1,0,1,0,1,0,0.010212,0.283737,0,0.001021,0.010212,0.500000,0.000284,0.022819
A36095,1,0,0,1,0,1,0,1,0,0.010216,0.286836,0,0.001021,0.010216,0.500000,0.000287,0.022841
A36097,1,0,0,1,0,1,0,1,0,0.006934,0.240791,0,0.000693,0.006934,0.500000,0.000241,0.028847
A36101,1,0,0,1,0,1,0,1,0,0.004236,0.193794,0,0.000423,0.004236,0.500000,0.000194,0.026110
A36107,1,0,0,1,0,1,0,1,0,0.007436,0.236222,0,0.000744,0.007436,0.500000,0.000236,0.029330
A36109,1,0,0,1,0,1,0,1,0,0.009703,0.255756,0,0.000971,0.009703,0.500000,0.000256,0.034011
A36123,1,0,0,1,0,1,0,1,0,0.006606,0.236853,0,0.000661,0.006606,0.500000,0.000237,0.026145
