TABLE->,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,SOIL-DATA,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-AD-FLAGS,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTGEN,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#1,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#2,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#3,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-FSTPM#4,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#1,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#2,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#3,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-ORGPM#4,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT,NIT-AMVOLAT
VARS->,SURFDEP,UPDEP,LODEP,GRNDDEP,SURFBD,UPBD,LOBD,GRNDBD,VNUT,FORA,ITMX,BNUM,CNUM,NUPT,FIXN,AMVO,ALPN,VNPR,NSF,NSC,NUF,NUC,HSF,HSC,HUF,HUC,OSF,OSC,OUF,OUC,NO3,NH4,PLN,KDSA,KADA,KIMN,KAM,KDNI,KNI,KIMA,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KDSAM,KADAM,KIMNI,KAM,KDNI,KNI,KIMAM,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,KLON,KRON,KONLR,THNLR,SKVOL,UKVOL,LKVOL,AKVOL,THVOL,TRFVOL
A10001,0.4,12.07317416,72.85119123,60,78.72301833,87.55908762,83.66118186,85.62005448,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.036662,0.100000,0.,8.133510,0.036662,na,na,0.036662,0.012848,0.,8.133510,0.036662,na,na,0.000100,0.100000,0.100E-04,0.104399,0.200000,na,na,0.000100,0.100000,0.100E-04,0.080046,0.000100,39229.56,17882.73,0.001,1.07,25.49098,503.2788,0.001,1.07,0.100000,44.28274,0.001,1.07,0.100000,44.28274,0.001,1.07,na,na,na,na,na,na
A10003,0.4,11.30319446,72.91490065,60,77.3944312,85.88307496,88.65565537,90.76086608,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.078523,0.075493,0.,10.00000,0.078523,na,na,0.078523,0.004533,0.,10.00000,0.078523,na,na,0.000100,0.100000,0.100E-04,0.010000,0.200000,na,na,0.000100,0.100000,0.100E-04,0.010000,0.000100,33414.87,15482.92,0.001,1.07,29.92679,581.2856,0.001,1.07,0.100000,30.71910,0.001,1.07,0.100000,30.71910,0.001,1.07,na,na,na,na,na,na
A10005,0.4,17.22599416,69.93049025,60,78.21246576,86.91502556,73.47617719,75.13662918,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.030038,0.100000,0.,10.00000,0.030038,na,na,0.030038,0.016015,0.,10.00000,0.030038,na,na,0.000100,0.021287,0.000206,0.015022,0.200000,na,na,0.000100,0.003336,0.000278,0.015022,0.000100,50000.00,39117.74,0.001,1.07,12.14300,230.0745,0.001,1.07,0.120501,58.06301,0.001,1.07,0.120501,58.06301,0.001,1.07,na,na,na,na,na,na
A11001,0.4,11.13728401,81.77270037,60,71.70779526,78.70938372,70.98480896,72.57226387,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.054698,0.100000,0.,9.754973,0.054698,na,na,0.054698,0.007184,0.,9.754973,0.054698,na,na,0.000100,0.100000,0.100E-04,0.146717,0.200000,na,na,0.000100,0.100000,0.100E-04,0.024453,0.000100,30538.54,13456.47,0.001,1.07,32.74548,668.8234,0.001,1.07,0.100000,32.21851,0.001,1.07,0.100000,32.21851,0.001,1.07,na,na,na,na,na,na
A24001,0.4,8.308930983,70.34325147,60,75.66544418,83.70195784,50.34250628,51.32514172,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.040483,0.100000,0.,10.00000,0.040483,na,na,0.040483,0.010200,0.,10.00000,0.040483,na,na,0.000100,0.100000,0.100E-04,1.392736,0.200000,na,na,0.000100,0.100000,0.100E-04,0.232124,0.000100,26670.84,14455.06,0.001,1.07,37.49414,622.6183,0.001,1.07,0.100000,38.01748,0.001,1.07,0.100000,38.01748,0.001,1.07,na,na,na,na,na,na
A24003,0.4,12.10283771,66.35545197,60,70.98166967,77.79337629,73.00209691,74.64865835,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.043447,0.100000,0.,10.00000,0.043447,na,na,0.043447,0.009645,0.,10.00000,0.043447,na,na,0.000100,0.100000,0.100E-04,0.019253,0.200000,na,na,0.000100,0.100000,0.100E-04,0.019253,0.000100,38546.30,17160.85,0.001,1.07,25.94283,524.4496,0.001,1.07,0.100000,34.77614,0.001,1.07,0.100000,34.77614,0.001,1.07,na,na,na,na,na,na
A24005,0.4,9.638000069,71.05242397,60,72.21493325,79.34913829,72.2324418,73.85645234,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.022827,0.100000,0.,6.857303,0.022827,na,na,0.022827,0.025929,0.,6.857303,0.022827,na,na,0.000100,0.100000,0.000015,0.162176,0.200000,na,na,0.000100,0.023391,0.000029,0.051324,0.000100,32839.04,16949.89,0.001,1.07,30.45159,530.9775,0.001,1.07,0.100000,53.54493,0.001,1.07,0.100000,53.54493,0.001,1.07,na,na,na,na,na,na
A24009,0.4,10.85652495,68.18091367,60,78.29874159,87.02386251,87.34160969,89.40831885,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.033731,0.100000,0.,7.384497,0.033731,na,na,0.033731,0.013756,0.,7.384497,0.033731,na,na,0.000100,0.100000,0.100E-04,0.041680,0.200000,na,na,0.000100,0.100000,0.100E-04,0.041680,0.000100,43550.47,19060.49,0.001,1.07,22.96189,472.1805,0.001,1.07,0.100000,38.24503,0.001,1.07,0.100000,38.24503,0.001,1.07,na,na,na,na,na,na
A24011,0.4,11.93884591,75.48745117,60,78.95166277,87.84752259,82.48109647,84.4053926,1,1,100,1,1,0,0,0,0,1,0,0,-1,0,0,0,-1,0,0,0,0,0,0.8,0.2,1.07,1.05,1.05,1.07,1.07,1.07,1.05,1.07,na,na,0.115692,0.045948,0.,10.00000,0.115692,na,na,0.115692,0.002754,0.,10.00000,0.115692,na,na,0.000100,0.100000,0.100E-04,0.010000,0.200000,na,na,0.000100,0.100000,0.100E-04,0.010000,0.000100,35636.91,14898.90,0.001,1.07,28.06079,604.0717,0.001,1.07,0.100000,30.45468,0.001,1.07,0.100000,30.45468,0.001,1.07,na,na,na,na,na,na
