TABLE->,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-PROPS#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5,QUAL-INPUT#5
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,0.011210,0.315958,0,0.001122,0.011210,0.500000,0.000316,0.001725
A10003,1,0,0,1,0,1,0,1,0,0.043311,0.496576,0,0.004330,0.043311,0.500000,0.000497,0.002916
A10005,1,0,0,1,0,1,0,1,0,0.018417,0.387880,0,0.001842,0.018417,0.500000,0.000388,0.001440
A11001,1,0,0,1,0,1,0,1,0,0.009736,0.285015,0,0.000973,0.009736,0.500000,0.000285,0.002626
A24001,1,0,0,1,0,1,0,1,0,0.021818,0.365882,0,0.002182,0.021818,0.500000,0.000366,0.005417
A24003,1,0,0,1,0,1,0,1,0,0.038212,0.459777,0,0.003821,0.038212,0.500000,0.000460,0.003203
A24005,1,0,0,1,0,1,0,1,0,0.014163,0.345977,0,0.001417,0.014163,0.500000,0.000346,0.001573
A24009,1,0,0,1,0,1,0,1,0,0.020626,0.406096,0,0.002063,0.020626,0.500000,0.000406,0.002367
A24011,1,0,0,1,0,1,0,1,0,0.047206,0.515860,0,0.004720,0.047206,0.500000,0.000516,0.003310
A24013,1,0,0,1,0,1,0,1,0,0.020965,0.391384,0,0.002096,0.020965,0.500000,0.000391,0.002769
A24015,1,0,0,1,0,1,0,1,0,0.018763,0.379890,0,0.001877,0.018763,0.500000,0.000380,0.002489
A24017,1,0,0,1,0,1,0,1,0,0.032815,0.477649,0,0.003281,0.032815,0.500000,0.000478,0.004658
A24019,1,0,0,1,0,1,0,1,0,0.050490,0.515649,0,0.005048,0.050490,0.500000,0.000516,0.004377
A24021,1,0,0,1,0,1,0,1,0,0.018953,0.374311,0,0.001896,0.018953,0.500000,0.000374,0.002685
A24023,1,0,0,1,0,1,0,1,0,0.052282,0.469490,0,0.005228,0.052282,0.500000,0.000469,0.003834
A24025,1,0,0,1,0,1,0,1,0,0.028693,0.462310,0,0.002869,0.028693,0.500000,0.000462,0.002017
A24027,1,0,0,1,0,1,0,1,0,0.019420,0.384321,0,0.001943,0.019420,0.500000,0.000384,0.002285
A24029,1,0,0,1,0,1,0,1,0,0.041496,0.516768,0,0.004150,0.041496,0.500000,0.000517,0.002604
A24031,1,0,0,1,0,1,0,1,0,0.011209,0.306000,0,0.001121,0.011209,0.500000,0.000306,0.001901
A24033,1,0,0,1,0,1,0,1,0,0.018509,0.365456,0,0.001851,0.018509,0.500000,0.000365,0.003199
A24035,1,0,0,1,0,1,0,1,0,0.024212,0.445851,0,0.002421,0.024212,0.500000,0.000446,0.001913
A24037,1,0,0,1,0,1,0,1,0,0.024749,0.409141,0,0.002475,0.024749,0.500000,0.000409,0.003977
A24039,1,0,0,1,0,1,0,1,0,0.051369,0.504582,0,0.005137,0.051369,0.500000,0.000505,0.004600
A24041,1,0,0,1,0,1,0,1,0,0.049324,0.539921,0,0.004932,0.049324,0.500000,0.000540,0.003229
A24043,1,0,0,1,0,1,0,1,0,0.004254,0.200479,0,0.000425,0.004254,0.500000,0.000200,0.000767
A24045,1,0,0,1,0,1,0,1,0,0.033578,0.466330,0,0.003358,0.033578,0.500000,0.000466,0.004281
A24047,1,0,0,1,0,1,0,1,0,0.032487,0.460185,0,0.003249,0.032487,0.500000,0.000460,0.003990
A24510,1,0,0,1,0,1,0,1,0,0.030872,0.453128,0,0.003088,0.030872,0.500000,0.000453,0.002250
A36003,1,0,0,1,0,1,0,1,0,0.029890,0.392438,0,0.002988,0.029890,0.500000,0.000392,0.005488
A36007,1,0,0,1,0,1,0,1,0,0.037228,0.458243,0,0.003723,0.037228,0.500000,0.000458,0.003344
A36011,1,0,0,1,0,1,0,1,0,0.07,6.5,0,0.07,0.7,1.64,0.000624,0.000624
A36015,1,0,0,1,0,1,0,1,0,0.027927,0.405883,0,0.002792,0.027927,0.500000,0.000406,0.005166
A36017,1,0,0,1,0,1,0,1,0,0.045628,0.484446,0,0.004563,0.045628,0.500000,0.000484,0.003074
A36023,1,0,0,1,0,1,0,1,0,0.043615,0.502733,0,0.004361,0.043615,0.500000,0.000503,0.002505
A36025,1,0,0,1,0,1,0,1,0,0.040040,0.493321,0,0.004003,0.040040,0.500000,0.000493,0.003049
