TABLE->,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-PROPS#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2,QUAL-INPUT#2
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,1.412065,0.500000,0,0.141208,1.412065,0.500000,0.003014,0.810276
A10003,1,0,0,1,0,1,0,1,0,0.873635,0.500000,0,0.087365,0.873635,0.500000,0.001865,0.828484
A10005,1,0,0,1,0,1,0,1,0,1.329019,0.500000,0,0.132904,1.329019,0.500000,0.002837,0.564408
A11001,1,0,0,1,0,1,0,1,0,0.963975,0.500000,0,0.096399,0.963975,0.500000,0.002058,1.214528
A24001,1,0,0,1,0,1,0,1,0,0.708445,0.500000,0,0.070845,0.708445,0.500000,0.001512,1.666647
A24003,1,0,0,1,0,1,0,1,0,0.784730,0.500000,0,0.078474,0.784730,0.500000,0.001675,0.936914
A24005,1,0,0,1,0,1,0,1,0,1.141446,0.500000,0,0.114146,1.141446,0.500000,0.002436,0.727647
A24009,1,0,0,1,0,1,0,1,0,1.102837,0.500000,0,0.110285,1.102837,0.500000,0.002354,0.885055
A24011,1,0,0,1,0,1,0,1,0,0.929885,0.500000,0,0.092990,0.929885,0.500000,0.001985,0.852385
A24013,1,0,0,1,0,1,0,1,0,0.872468,0.500000,0,0.087248,0.872468,0.500000,0.001862,1.003774
A24015,1,0,0,1,0,1,0,1,0,0.919725,0.500000,0,0.091974,0.919725,0.500000,0.001963,0.919954
A24017,1,0,0,1,0,1,0,1,0,1.005852,0.500000,0,0.100586,1.005852,0.500000,0.002147,1.213691
