TABLE->,PWT-PARM1,PWT-PARM1,PWT-PARM1,PWT-PARM1,PWT-PARM2,PWT-PARM2,PWT-PARM2,PWT-PARM2,PWT-PARM2,MON-IFWDOX,MON-IFWDOX,MON-IFWDOX,MON-IFWDOX,MON-IFWDOX,MON-IFWDOX,MON-IFWDOX,MON-IFWDOX,MON-IFWDOX,MON-IFWDOX,MON-IFWDOX,MON-IFWDOX,MON-GRNDDOX,MON-GRNDDOX,MON-GRNDDOX,MON-GRNDDOX,MON-GRNDDOX,MON-GRNDDOX,MON-GRNDDOX,MON-GRNDDOX,MON-GRNDDOX,MON-GRNDDOX,MON-GRNDDOX,MON-GRNDDOX,PWT-TEMPS,PWT-TEMPS,PWT-TEMPS,PWT-GASES,PWT-GASES,PWT-GASES,PWT-GASES,PWT-GASES,PWT-GASES
VARS->,IDV,ICV,GDV,GCV,ELEV,IDOXP,ICO2P,ADOXP,ACO2P,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,SOTMP,IOTMP,AOTMP,SODOX,SOCO2,IODOX,IOCO2,AODOX,AOCO2
A10001,1,0,1,0,44.87,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
A10003,1,0,1,0,83.39,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
A10005,1,0,1,0,34.19,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
A11001,1,0,1,0,22.97,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
A24001,1,0,1,0,940.55,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
A24003,1,0,1,0,108.28,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
A24005,1,0,1,0,527.32,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
A24009,1,0,1,0,86.1,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
A24011,1,0,1,0,46.03,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
A24013,1,0,1,0,645.09,0,0,0,0,12.7,12.7,11.2,9.7,7.4,6.6,6.2,6.2,7.5,8.4,9.4,11.6,10,10,10,10,7.5,5.5,5,5,6.5,7.5,9,10,33,40,55,14.5,0,12.7,0,10,0
