TABLE->,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-PROPS#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4,QUAL-INPUT#4
VARS->,QSD,VPFW,VPFS,QSO,VQO,QIFW,VIQC,QAGW,VAQC,SQO,POTFW,POTFS,ACQOP,SQOLIM,WSQOP,IOQC,AOQC
A10001,1,0,0,1,0,1,0,1,0,1.791742,1.008600,0,0.179173,1.791742,0.500000,0.001009,1.414343
A10003,1,0,0,1,0,1,0,1,0,0.964851,0.543130,0,0.096484,0.964851,0.500000,0.000543,1.432641
A10005,1,0,0,1,0,1,0,1,0,1.960039,1.103337,0,0.196002,1.960039,0.500000,0.001103,0.986807
A11001,1,0,0,1,0,1,0,1,0,1.327269,0.747141,0,0.132726,1.327269,0.500000,0.000747,2.145826
A24001,1,0,0,1,0,1,0,1,0,0.952385,0.536112,0,0.095238,0.952385,0.500000,0.000536,2.898425
A24003,1,0,0,1,0,1,0,1,0,0.974667,0.548655,0,0.097466,0.974667,0.500000,0.000549,1.626853
A24005,1,0,0,1,0,1,0,1,0,0.893878,0.503178,0,0.089387,0.893878,0.500000,0.000503,1.255881
A24009,1,0,0,1,0,1,0,1,0,0.900284,0.506784,0,0.090028,0.900284,0.500000,0.000507,1.514294
A24011,1,0,0,1,0,1,0,1,0,1.380677,0.777204,0,0.138066,1.380677,0.500000,0.000777,1.487662
A24013,1,0,0,1,0,1,0,1,0,0.903332,0.508500,0,0.090332,0.903332,0.500000,0.000508,1.749071
A24015,1,0,0,1,0,1,0,1,0,1.103241,0.621032,0,0.110323,1.103241,0.500000,0.000621,1.592915
A24017,1,0,0,1,0,1,0,1,0,1.244226,0.700394,0,0.124422,1.244226,0.500000,0.000700,2.137427
A24019,1,0,0,1,0,1,0,1,0,1.156374,0.650941,0,0.115636,1.156374,0.500000,0.000651,1.692665
A24021,1,0,0,1,0,1,0,1,0,0.734880,0.413675,0,0.073487,0.734880,0.500000,0.000414,1.848048
A24023,1,0,0,1,0,1,0,1,0,0.823970,0.463826,0,0.082396,0.823970,0.500000,0.000464,1.347504
A24025,1,0,0,1,0,1,0,1,0,1.238568,0.697209,0,0.123856,1.238568,0.500000,0.000697,1.213160
A24027,1,0,0,1,0,1,0,1,0,0.490633,0.276185,0,0.049063,0.490633,0.500000,0.000276,1.544756
A24029,1,0,0,1,0,1,0,1,0,0.887557,0.499619,0,0.088755,0.887557,0.500000,0.000500,1.374384
A24031,1,0,0,1,0,1,0,1,0,0.877188,0.493783,0,0.087718,0.877188,0.500000,0.000494,1.605654
A24033,1,0,0,1,0,1,0,1,0,0.487321,0.274321,0,0.048732,0.487321,0.500000,0.000274,1.989757
A24035,1,0,0,1,0,1,0,1,0,1.828288,1.029172,0,0.182827,1.828288,0.500000,0.001029,1.254547
A24037,1,0,0,1,0,1,0,1,0,1.088180,0.612554,0,0.108817,1.088180,0.500000,0.000613,2.258840
A24039,1,0,0,1,0,1,0,1,0,1.190728,0.670280,0,0.119072,1.190728,0.500000,0.000670,1.800400
A24041,1,0,0,1,0,1,0,1,0,1.425005,0.802157,0,0.142499,1.425005,0.500000,0.000802,1.435926
A24043,1,0,0,1,0,1,0,1,0,1.051802,0.592076,0,0.105179,1.051802,0.500000,0.000592,0.921412
A24045,1,0,0,1,0,1,0,1,0,1.261806,0.710290,0,0.126180,1.261806,0.500000,0.000710,1.789392
A24047,1,0,0,1,0,1,0,1,0,1.204127,0.677822,0,0.120412,1.204127,0.500000,0.000678,1.766599
A24510,1,0,0,1,0,1,0,1,0,1.221839,0.687792,0,0.122183,1.221839,0.500000,0.000688,1.351037
A36003,1,0,0,1,0,1,0,1,0,0.711586,0.400563,0,0.071158,0.711586,0.500000,0.000401,2.888213
A36007,1,0,0,1,0,1,0,1,0,1.129574,0.635855,0,0.112956,1.129574,0.500000,0.000636,1.533510
A36011,1,0,0,1,0,1,0,1,0,2.1,195,0,2.1,21,1.64,0.01872,0.01872
A36015,1,0,0,1,0,1,0,1,0,0.861024,0.484684,0,0.086102,0.861024,0.500000,0.000485,2.754368
A36017,1,0,0,1,0,1,0,1,0,1.020006,0.574177,0,0.102000,1.020006,0.500000,0.000574,1.264826
A36023,1,0,0,1,0,1,0,1,0,1.285651,0.723713,0,0.128564,1.285651,0.500000,0.000724,1.110382
A36025,1,0,0,1,0,1,0,1,0,1.190999,0.670432,0,0.119099,1.190999,0.500000,0.000670,1.388233
A36043,1,0,0,1,0,1,0,1,0,1.149507,0.647076,0,0.114950,1.149507,0.500000,0.000647,1.237614
A36051,1,0,0,1,0,1,0,1,0,1.244359,0.700469,0,0.124435,1.244359,0.500000,0.000700,1.897665
A36053,1,0,0,1,0,1,0,1,0,1.575192,0.886700,0,0.157518,1.575192,0.500000,0.000887,1.073991
A36065,1,0,0,1,0,1,0,1,0,1.431821,0.805994,0,0.143181,1.431821,0.500000,0.000806,1.114137
