rseg,lseg,landuse_type,shortName,Acres
ZZ0_9999_9999,B42009,hom,ConPlan,5.9088945E-2
ZZ0_9999_9999,B42009,hwm,ConPlan,0.87984091
ZZ0_9999_9999,B42009,lwm,ConPlan,0.60387605
ZZ0_9999_9999,B42009,nhi,ConPlan,0.19414939
ZZ0_9999_9999,B42009,nho,ConPlan,1.2986581E-2
ZZ0_9999_9999,B42009,nlo,ConPlan,0.13311246
ZZ0_9999_9999,B42009,npa,ConPlan,0
ZZ0_9999_9999,B42009,pas,ConPlan,0.3031224
ZZ0_9999_9999,A42011,hom,ConPlan,182.48962
ZZ0_9999_9999,A42011,hwm,ConPlan,2131.2361
ZZ0_9999_9999,A42011,lwm,ConPlan,2614.123
ZZ0_9999_9999,A42011,nhi,ConPlan,63.879551
ZZ0_9999_9999,A42011,nho,ConPlan,5.469739
ZZ0_9999_9999,A42011,nlo,ConPlan,78.353073
ZZ0_9999_9999,A42011,npa,ConPlan,0
ZZ0_9999_9999,A42011,pas,ConPlan,116.80231
ZZ0_9999_9999,A42021,hom,ConPlan,706.18256
ZZ0_9999_9999,A42021,hwm,ConPlan,2972.2646
ZZ0_9999_9999,A42021,lwm,ConPlan,1560.5885
ZZ0_9999_9999,A42021,nhi,ConPlan,371.39676
ZZ0_9999_9999,A42021,nho,ConPlan,88.240128
ZZ0_9999_9999,A42021,nlo,ConPlan,195.0016
ZZ0_9999_9999,A42021,npa,ConPlan,0
ZZ0_9999_9999,A42021,pas,ConPlan,284.15854
ZZ0_9999_9999,A42023,hom,ConPlan,0
ZZ0_9999_9999,A42023,hwm,ConPlan,0
ZZ0_9999_9999,A42023,lwm,ConPlan,0
ZZ0_9999_9999,A42023,nhi,ConPlan,0
ZZ0_9999_9999,A42023,nho,ConPlan,0
ZZ0_9999_9999,A42023,nlo,ConPlan,0
ZZ0_9999_9999,A42023,npa,ConPlan,0
ZZ0_9999_9999,A42023,pas,ConPlan,0
ZZ0_9999_9999,A42025,hom,ConPlan,0.68142927
ZZ0_9999_9999,A42025,hwm,ConPlan,11.908922
ZZ0_9999_9999,A42025,lwm,ConPlan,0
ZZ0_9999_9999,A42025,nhi,ConPlan,4.8484891E-3
ZZ0_9999_9999,A42025,nho,ConPlan,2.7838215E-4
ZZ0_9999_9999,A42025,nlo,ConPlan,0
ZZ0_9999_9999,A42025,npa,ConPlan,0
ZZ0_9999_9999,A42025,pas,ConPlan,1.2245314
ZZ0_9999_9999,A42029,hom,ConPlan,57.506226
ZZ0_9999_9999,A42029,hwm,ConPlan,353.30621
ZZ0_9999_9999,A42029,lwm,ConPlan,763.90533
ZZ0_9999_9999,A42029,nhi,ConPlan,5.1992631
ZZ0_9999_9999,A42029,nho,ConPlan,0.84626824
ZZ0_9999_9999,A42029,nlo,ConPlan,11.241652
ZZ0_9999_9999,A42029,npa,ConPlan,0
ZZ0_9999_9999,A42029,pas,ConPlan,43.111904
ZZ0_9999_9999,A42033,hom,ConPlan,38.977982
ZZ0_9999_9999,A42033,hwm,ConPlan,601.22668
ZZ0_9999_9999,A42033,lwm,ConPlan,43.174068
ZZ0_9999_9999,A42033,nhi,ConPlan,140.1149
ZZ0_9999_9999,A42033,nho,ConPlan,9.0840416
ZZ0_9999_9999,A42033,nlo,ConPlan,10.061632
