 rseg,lseg,Shortname,Landuse_Type,const,lbs
ZZ0_9999_9999,B42009,DirtGravelDSA,for,SED,56.465527
ZZ0_9999_9999,B42009,DirtGravelDSAOut,for,SED,48.659245
ZZ0_9999_9999,B42009,DirtGravelnoDSA,for,SED,759.23572
ZZ0_9999_9999,A42021,DirtGravelnoDSA,for,SED,171.21425
ZZ0_9999_9999,A42021,DirtGravelDSAOut,for,SED,3164.5569
ZZ0_9999_9999,A42021,DirtGravelDSA,for,SED,4598.5464
ZZ0_9999_9999,A42023,DirtGravelDSA,for,SED,67.660309
ZZ0_9999_9999,A42023,DirtGravelDSAOut,for,SED,5.9454913
ZZ0_9999_9999,A42023,DirtGravelnoDSA,for,SED,1144.8424
ZZ0_9999_9999,A42033,DirtGravelnoDSA,for,SED,4198.1709
ZZ0_9999_9999,A42033,DirtGravelDSAOut,for,SED,14324.15
ZZ0_9999_9999,A42033,DirtGravelDSA,for,SED,1492.2521
ZZ0_9999_9999,A42063,DirtGravelnoDSA,for,SED,49206.77
ZZ0_9999_9999,A42069,DirtGravelnoDSA,for,SED,1929.4625
ZZ0_9999_9999,A42069,DirtGravelDSAOut,for,SED,4424.3721
ZZ0_9999_9999,A42071,DirtGravelDSAOut,for,SED,285.34161
ZZ0_9999_9999,A42071,DirtGravelDSA,for,SED,277.35751
ZZ0_9999_9999,A42071,DirtGravelnoDSA,for,SED,555.09381
ZZ0_9999_9999,A42075,DirtGravelnoDSA,for,SED,692.83386
ZZ0_9999_9999,A42075,DirtGravelDSAOut,for,SED,157.80363
ZZ0_9999_9999,A42079,DirtGravelDSAOut,for,SED,7539.8896
ZZ0_9999_9999,A42079,DirtGravelDSA,for,SED,2107.0569
ZZ0_9999_9999,A42079,DirtGravelnoDSA,for,SED,3201.4883
ZZ0_9999_9999,A42105,DirtGravelnoDSA,for,SED,22994.355
ZZ0_9999_9999,A42105,DirtGravelDSA,for,SED,29230.229
ZZ0_9999_9999,A42105,DirtGravelDSAOut,for,SED,22146.375
ZZ0_9999_9999,A42107,DirtGravelDSAOut,for,SED,9079.1074
ZZ0_9999_9999,A42107,DirtGravelDSA,for,SED,5137.0166
ZZ0_9999_9999,A42107,DirtGravelnoDSA,for,SED,3784.0283
ZZ0_9999_9999,A42111,DirtGravelnoDSA,for,SED,380.79892
ZZ0_9999_9999,A42111,DirtGravelDSAOut,for,SED,21108.871
ZZ0_9999_9999,A42127,DirtGravelDSAOut,for,SED,31268.637
ZZ0_9999_9999,A42127,DirtGravelDSA,for,SED,55254.352
ZZ0_9999_9999,A42127,DirtGravelnoDSA,for,SED,13788.773
EL2_4590_0001,A24011,UrbStrmRest,imh,TN,4.5477464E-3
EL2_4590_0001,A24011,UrbStrmRest,imh,TP,5.684683E-4
EL2_4590_0001,A24011,UrbStrmRest,imh,SED,0.45477465
EL2_4590_0001,A24011,UrbStrmRest,iml,TN,1.5404846E-2
EL2_4590_0001,A24011,UrbStrmRest,iml,TP,1.9256057E-3
EL2_4590_0001,A24011,UrbStrmRest,iml,SED,1.5404845
EL2_4590_0001,A24011,UrbStrmRest,puh,TN,3.8106723E-3
EL2_4590_0001,A24011,UrbStrmRest,puh,TP,4.7633404E-4
EL2_4590_0001,A24011,UrbStrmRest,puh,SED,0.38106725
EL2_4590_0001,A24011,UrbStrmRest,pul,TN,9.3608394E-2
EL2_4590_0001,A24011,UrbStrmRest,pul,TP,1.1701049E-2
EL2_4590_0001,A24011,UrbStrmRest,pul,SED,9.3608398
