riverseg,landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,nal,nhi,nho,nhy,nlo,npa,pas,puh,pul,trp,urs,css,wat
DE0_3380_0000,A10001,12.046,126.539,49,0,4279.488,1404.057,43.227,4446.889,158.275,122.959,300,153,6124.981,0,0,0,0,0,0,310.274,225,971,0,0.449,0,222
DE0_3410_0000,A10001,25.967,295.457,103,171,32171.891,2993.807,324.969,9481.896,369.556,287.099,375,206,13060.016,0,0,0,0,0,0,724.462,278,1584,0,0.967,0,4024
DE0_3790_0000,A10001,17.947,218.544,148,282,9298.021,2048.511,93.919,6487.982,273.354,212.362,1522,675,8936.308,0,0,0,0,0,0,535.872,1019,4674,0,0.668,0,729
DE0_3791_0001,A10001,8.369,56.874,134,52.7,7130.345,1020.138,72.024,3230.952,71.138,55.265,686,313,4450.195,0,0,0,0,0,0,139.456,472,2373,0,0.312,0,165
DE0_3840_0000,A10001,5.798,58.495,73,51.6,4979.571,679.232,50.299,2151.243,73.165,56.84,395,200,2963.044,0,0,0,0,0,0,143.429,254,1864,0,0.216,0,952
DE0_4140_0000,A10001,32.101,829.753,119,198,20659.92,3031.658,208.686,9601.777,1037.85,806.279,373,228,13225.135,0,0,0,0,0,0,2034.556,278,1674,0,1.196,0,703
DE0_4141_0001,A10001,8.001,161.499,11,16.2,4956.002,820.928,50.061,2600.019,202.003,156.931,29.9,22.8,3581.171,0,0,0,0,0,0,395.997,24.6,140,0,0.298,0,108
DE0_4230_0000,A10001,9.961,131.144,55,0,12026.795,1122.755,121.483,3555.955,164.034,127.434,337,143,4897.841,0,0,0,0,0,0,321.565,215,1071,0,0.371,0,786
DE0_4231_0001,A10001,1.681,29.247,0.72,0,1091.699,179.179,11.027,567.489,36.582,28.42,0.11,0.18,781.639,0,0,0,0,0,0,71.714,0.11,1.82,0,0.063,0,0
EL0_4560_4562,A10001,3.937,96.61,2.63,0,3617.242,379.249,36.538,1201.147,120.839,93.877,5.09,11.3,1654.415,0,0,0,0,0,0,236.887,4.91,91.6,0,0.147,0,2.22
EL2_4400_4590,A10001,17.018,403.749,21,0,13585.388,1659.307,137.226,5255.308,505.007,392.327,18.6,25.8,7238.469,0,0,0,0,0,0,989.993,15.6,187,0,0.634,0,1.9
EL2_4590_0001,A10001,4.52,111.276,4.7,0,4470.204,434.92,45.154,1377.465,139.184,108.128,1.62,9.96,1897.27,0,0,0,0,0,0,272.849,1.72,71.6,0,0.168,0,0
EM2_3980_0001,A10001,23.861,376.036,37,39.6,24609.844,2600.425,248.584,8235.989,470.344,365.398,43.6,91.1,11343.948,0,0,0,0,0,0,922.042,38.9,722,0,0.889,0,62.7
EM3_4326_0000,A10001,7.625,156.383,11,0,4745.909,778.776,47.938,2466.516,195.603,151.959,2,4.76,3397.287,0,0,0,0,0,0,383.452,2,35.5,0,0.284,0,0.22
EU2_3520_0001,A10001,9.118,94.393,9.7,0,8947.222,1064.749,90.376,3372.241,118.066,91.722,4.11,34.1,4644.8,0,0,0,0,0,0,231.451,3.23,269,0,0.34,0,11.5
DE0_2590_0000,A10003,0.125,3.442,13.2,0,4449.292,7.794,44.942,70.212,5.516,22.104,116,220,72.188,0,0,0,0,0,0,12.863,100,1360,0,0.035,0,9.44
DE0_2600_0000,A10003,1.251,85.289,25,0,6608.704,28.107,66.755,253.191,136.669,547.666,1398,442,260.314,0,0,0,0,0,0,318.707,902,3455,0,0.354,0,107
DE0_2610_0000,A10003,0.026,0.438,6.67,0,2439.229,1.908,24.639,17.192,0.703,2.816,1119,649,17.675,0,0,0,0,0,0,1.638,745,4146,0,0.007,0,156
DE0_2640_0000,A10003,1.068,87.308,18,0,7190.643,9.684,72.633,87.234,139.905,560.632,436,481,89.688,0,0,0,0,0,0,326.252,336,3460,0,0.302,0,171
DE0_2690_0000,A10003,1.391,49.664,109,0,11348.295,75.629,114.629,681.273,79.582,318.906,2084,1533,700.443,0,0,0,0,0,0,185.583,1602,10513,0,0.394,0,128
DE0_2710_0000,A10003,1.525,31.106,336,288,12499.404,105.814,126.257,953.187,49.845,199.741,6329,2114,980.007,0,0,0,0,0,0,116.236,4390,14194,0,0.432,0,496
DE0_2800_0000,A10003,0.003,0,19,0,702.236,0.239,7.093,2.153,0,0,727,229,2.214,0,0,0,0,0,0,0,563,1542,0,0.001,0,13.7
