riverseg,landseg,afo,alf,bar,ext,for,hom,hvf,hwm,hyo,hyw,imh,iml,lwm,nal,nhi,nho,nhy,nlo,npa,pas,puh,pul,trp,urs,wat,css
DE0_3380_0000,A10001,12.04542787,126.53299,48.99767272,0.1,4279.284744,1403.990314,43.22494691,4446.677793,158.2674827,122.95316,299.9857514,152.9927332,6124.690091,0.1,0.1,0.1,0.1,0.1,0.1,310.2592634,224.9893135,970.9538819,0.1,0.448978675,221.989456,0.1
DE0_3410_0000,A10001,25.96668751,295.4534444,102.9987605,170.9979421,32171.50384,2993.770972,324.9650893,9481.781893,369.5515527,287.095545,374.9954872,205.997521,13059.85883,0.1,0.1,0.1,0.1,0.1,0.1,724.4532817,277.9966545,1583.980938,0.1,0.966988363,4023.951574,0.1
DE0_3790_0000,A10001,17.94661376,218.5392967,147.9968148,281.993931,9297.820895,2048.466913,93.91697874,6487.84237,273.3481171,212.3574297,1521.967245,674.9854731,8936.115679,0.1,0.1,0.1,0.1,0.1,0.1,535.8604673,1018.97807,4673.899409,0.1,0.667985624,728.984311,0.1
DE0_3791_0001,A10001,8.368672298,56.87177301,133.994753,52.69793645,7130.0658,1020.098055,72.02117978,3230.825487,71.13521448,55.26283601,685.9731386,312.987744,4450.020745,0.1,0.1,0.1,0.1,0.1,0.1,139.4505394,471.9815181,2372.907081,0.1,0.311987783,164.9935392,0.1
DE0_3840_0000,A10001,5.797689758,58.49187003,72.99609389,51.59723897,4979.304551,679.1956554,50.29630858,2151.12789,73.16108506,56.83695858,394.9788642,199.9892983,2962.885452,0.1,0.1,0.1,0.1,0.1,0.1,143.4213253,253.9864089,1863.90026,0.1,0.215988442,951.94906,0.1
DE0_4140_0000,A10001,32.10053343,829.7409401,118.9982704,197.9971222,20659.61972,3031.613937,208.6829669,9601.637444,1037.834915,806.2672812,372.9945787,227.9966862,13224.94278,0.1,0.1,0.1,0.1,0.1,0.1,2034.526429,277.9959594,1673.975669,0.1,1.195982617,702.9897823,0.1
DE0_4141_0001,A10001,8.000518208,161.4892751,10.99933762,16.19902449,4955.703567,820.8785666,50.05798551,2599.862436,201.9908361,156.9215502,29.89819953,22.79862707,3580.955355,0.1,0.1,0.1,0.1,0.1,0.1,395.9731545,24.59851868,139.9915697,0.1,0.297982056,107.9934966,0.1
DE0_4230_0000,A10001,9.960642638,131.1392951,54.99802681,0.1,12026.36353,1122.71472,121.4786417,3555.827426,164.0281151,127.4294282,336.9879098,142.9948697,4897.665285,0.1,0.1,0.1,0.1,0.1,0.1,321.5534635,214.9922866,1070.961577,0.1,0.37098669,785.9718014,0.1
DE0_4231_0001,A10001,1.680400003,29.23656091,0.719743011,0.1,1091.309341,179.1150459,11.02306415,567.2864469,36.56894283,28.40985609,0.109960738,0.179935753,781.3600106,0.1,0.1,0.1,0.1,0.1,0.1,71.68840322,0.109960738,1.81935039,0.1,0.062977513,0.1,0.1
EL0_4560_4562,A10001,3.936531225,96.59849674,2.629686848,0.1,3616.811298,379.2038432,36.53364945,1201.003981,120.8246118,93.86582215,5.089393938,11.29865452,1654.21801,0.1,0.1,0.1,0.1,0.1,0.1,236.8587941,4.909415371,91.58909327,0.1,0.146982497,2.219735667,0.1
EL2_4400_4590,A10001,17.01749708,403.7370682,20.9993794,0.1,13584.98652,1659.257963,137.2219446,5255.152693,504.9920758,392.3154058,18.59945032,25.79923755,7238.255085,0.1,0.1,0.1,0.1,0.1,0.1,989.9637433,15.59953898,186.9944737,0.1,0.633981264,1.89994385,0.1
EL2_4590_0001,A10001,4.519495014,111.263568,4.699474904,0.1,4469.704577,434.8714096,45.14895528,1377.311106,139.16845,108.1159197,1.619819009,9.958887243,1897.058032,0.1,0.1,0.1,0.1,0.1,0.1,272.8185166,1.719807837,71.59200066,0.1,0.167981231,0.1,0.1
EM2_3980_0001,A10001,23.86061999,376.0300112,36.99941074,39.59936933,24609.45206,2600.383586,248.580041,8235.857833,470.3365093,365.3921807,43.59930563,91.09854914,11343.76734,0.1,0.1,0.1,0.1,0.1,0.1,922.0273155,38.89938048,721.9885014,0.1,0.888985842,62.69900144,0.1
EM3_4326_0000,A10001,7.624446001,156.3716379,10.99920079,0.1,4745.564183,778.7194176,47.93451704,2466.336794,195.5887884,151.9479593,1.999854689,4.759654159,3397.040168,0.1,0.1,0.1,0.1,0.1,0.1,383.4241401,1.999854689,35.49742073,0.1,0.283979366,0.219984016,0.1
EU2_3520_0001,A10001,9.117568006,94.38852784,9.699540432,0.1,8946.798098,1064.698554,90.37171816,3372.08123,118.0604063,91.71765439,4.109805276,34.09838441,4644.579938,0.1,0.1,0.1,0.1,0.1,0.1,231.4400343,3.229846969,268.9872553,0.1,0.339983891,11.49945515,0.1
